time(s),surface angle(deg),rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m),time(s),surface angle(deg),rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m),time(s),surface angle(deg),rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m),time(s),surface angle(deg),rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m),time(s),surface angle(deg),rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m)
31.83226,-20,31.83226,2.82999,5.65,48.77,0.015,-0.324,-0.236,-0.237642677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.83328,-20,31.83328,2.82999,5.65,48.77,0.015,-0.324,-0.236,-0.22561368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.83428,-20,31.83428,2.25,6.26999,48.71999,0,-0.336,-0.233,-0.21893426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.83528,-20,31.83528,2.25,6.26999,48.71999,0,-0.336,-0.233,-0.214907978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.8363,-20,31.8363,2.25,6.26999,48.71999,0,-0.336,-0.233,-0.207746236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.83726,-20,31.83726,2.25,6.26999,48.71999,0,-0.336,-0.233,-0.193674555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.83827,-20,31.83827,2.25,6.26999,48.71999,0,-0.336,-0.233,-0.188172168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.83928,-20,31.83928,2.25,6.26999,48.71999,0,-0.336,-0.233,-0.182171978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.84036,-20,31.84036,2.25,6.26999,48.71999,0,-0.336,-0.233,-0.17910336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.84128,-20,31.84128,2.25,6.26999,48.71999,0,-0.336,-0.233,-0.173519522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.84231,-20,31.84231,2.25,6.26999,48.71999,0,-0.336,-0.233,-0.168052778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.84329,-20,31.84329,2.25,6.26999,48.71999,0,-0.336,-0.233,-0.159047538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.84426,-20,31.84426,2.57999,5.62999,48.84999,0.001,-0.341,-0.235,-0.154719427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.84526,-20,31.84526,2.57999,5.62999,48.84999,0.001,-0.341,-0.235,-0.145978178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.84626,-20,31.84626,2.57999,5.62999,48.84999,0.001,-0.341,-0.235,-0.139601196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.84726,-20,31.84726,2.57999,5.62999,48.84999,0.001,-0.341,-0.235,-0.136415784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.84826,-20,31.84826,2.57999,5.62999,48.84999,0.001,-0.341,-0.235,-0.127965665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.84926,-20,31.84926,2.57999,5.62999,48.84999,0.001,-0.341,-0.235,-0.11923428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.85026,-20,31.85026,2.57999,5.62999,48.84999,0.001,-0.341,-0.235,-0.115606056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.85126,-20,31.85126,2.57999,5.62999,48.84999,0.001,-0.341,-0.235,-0.108539196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.85226,-20,31.85226,2.57999,5.62999,48.84999,0.001,-0.341,-0.235,-0.102972438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.85326,-20,31.85326,2.57999,5.62999,48.84999,0.001,-0.341,-0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.85426,-20,31.85426,2.85999,5.81999,48.84,0.027,-0.32,-0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.85526,-20,31.85526,2.85999,5.81999,48.84,0.027,-0.32,-0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.85626,-20,31.85626,2.85999,5.81999,48.84,0.027,-0.32,-0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.85726,-20,31.85726,2.85999,5.81999,48.84,0.027,-0.32,-0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.85826,-20,31.85826,2.85999,5.81999,48.84,0.027,-0.32,-0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.85926,-20,31.85926,2.85999,5.81999,48.84,0.027,-0.32,-0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.86026,-20,31.86026,2.85999,5.81999,48.84,0.027,-0.32,-0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.86126,-20,31.86126,2.85999,5.81999,48.84,0.027,-0.32,-0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.86226,-20,31.86226,2.85999,5.81999,48.84,0.027,-0.32,-0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.86326,-20,31.86326,2.85999,5.81999,48.84,0.027,-0.32,-0.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.86426,-20,31.86426,2.33999,6.55999,48.61999,0.03099,-0.314,-0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.86526,-20,31.86526,2.33999,6.55999,48.61999,0.03099,-0.314,-0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.86626,-20,31.86626,2.33999,6.55999,48.61999,0.03099,-0.314,-0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.86726,-20,31.86726,2.33999,6.55999,48.61999,0.03099,-0.314,-0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.86826,-20,31.86826,2.33999,6.55999,48.61999,0.03099,-0.314,-0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.86926,-20,31.86926,2.33999,6.55999,48.61999,0.03099,-0.314,-0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.87026,-20,31.87026,2.33999,6.55999,48.61999,0.03099,-0.314,-0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.87126,-20,31.87126,2.33999,6.55999,48.61999,0.03099,-0.314,-0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.87226,-20,31.87226,2.33999,6.55999,48.61999,0.03099,-0.314,-0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.87326,-20,31.87326,2.33999,6.55999,48.61999,0.03099,-0.314,-0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
