surfaceAngle_deg_,force_x,force_y,force_z,moment_x,moment_y,moment_z,count
-20,0.341319750000052,-0.0396031974999538,-4.47400434416658,0.0100190533333337,0.000310852916692639,-0.0225030416666626,8000
-18,0.336118231250096,-0.0810859987498951,-4.52339290041589,0.0103051145833335,0.000583431666690226,-0.0310421916666691,8000
-16,0.27060832500002,-0.0611444037498963,-4.51019391291592,0.00921353583333226,0.00118455416669172,-0.0244480391666655,8000
-14,0.318943292500066,-0.0579670462498179,-4.47591285166608,0.00906835333333614,0.00249821666668298,-0.0219629791666599,8000
-12,0.315350863749904,-0.0593532487498862,-4.512091415416,0.00876935333333367,0.00315798041668336,-0.0191571291666657,8000
-10,0.266934466250041,-0.079782938749922,-4.49607773791605,0.00605411583333346,0.00701937916668605,-0.014803702916671,8000
-8,0.221628636250064,-0.076215608749969,-4.50293653291588,0.00553531583333275,0.00743414291667976,-0.00937223916665769,8000
-6,0.26333584250002,-0.0725995487498725,-4.51566530166613,0.00444785333333397,0.00925921791668094,-0.00581037916665877,8000
-4,0.225418537500003,-0.125602033749884,-4.53771543791603,0.00643091708333557,0.0113620654166836,-0.00598316291666845,8000
-2,0.171999766249993,-0.0736118774999106,-4.53886144041576,0.00480011208333198,0.00878537041668626,-0.00677652666666134,8000
0,0.142804791250068,-0.123085877499769,-4.59477397916585,0.00562505333333482,0.00875800791668885,-0.00505006666665825,8000
2,0.105174523750031,-0.0930360487498074,-4.55958526291536,0.00319887833333585,0.0105356666666809,-0.00296405416665907,8000
4,0.0628897787501259,-0.164608689999782,-4.57062757291607,0.00157273958333329,0.0069320954166871,-0.0100290029166626,8000
6,0.061899536250106,-0.0433643849999648,-4.43690262416529,-0.00309753541666319,0.0115126916666838,0.0108133620833289,8000
8,0.0448681275000968,-0.0707282849998556,-4.40090646541546,-0.00198609041666598,0.0133798416666812,0.0161623245833294,8000
10,0.0585671250001072,-0.105339526249797,-4.44691902041647,-0.00314878541666591,0.0117150541666907,0.00941387083333767,8000
12,0.0934259787500515,-0.136548314999869,-4.45453924041551,-0.000305460416666403,0.013874852916688,0.00940772208333562,8000
14,0.0132921899999827,-0.150272224999847,-4.40512285291585,-0.00315042041666647,0.0127868041666871,0.0119483720833329,8000
16,0.0476409137500475,-0.213351363749898,-4.38523169791559,-0.00505297541666724,0.0149044054166845,0.00866469458333757,8000
18,0.0285583875000057,-0.169324822499866,-4.37634260166558,-0.00814245041666592,0.0128134541666882,0.00896947833333189,8000
20,-0.0350378787499084,-0.123736171249954,-4.17799296541575,-0.0109940116666664,0.0149139441666816,0.0262958670833335,8000
