time(s),surface angle(deg),rotor speed(rad/s),ranging distance(m),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m),,,,,,,,,
0.00136,0,0,0.01999,2.33999,5.25,62.54999,0.06599,-0.397,-0.198,,,,,,,,,
0.00229,0,0,0.01999,2.33999,5.25,62.54999,0.06599,-0.397,-0.198,,,,,,,,,
0.00332,0,0,0.01999,2.33999,5.25,62.54999,0.06599,-0.397,-0.198,,,,,,,,,
0.00429,0,0,0.01999,2.33999,5.25,62.54999,0.06599,-0.397,-0.198,,,,,,,,,
0.00532,0,0,0.01999,2.22,5.08999,62.50999,0.064,-0.396,-0.197,,,,,,,,,
0.00629,0,0,0.01999,2.22,5.08999,62.50999,0.064,-0.396,-0.197,,,,,,,,,
0.00736,0,0,0.01999,2.22,5.08999,62.50999,0.064,-0.396,-0.197,,,,,,,,,
0.00829,0,0,0.01999,2.22,5.08999,62.50999,0.064,-0.396,-0.197,,,,,,,,,
0.00931,0,0,0.01999,2.22,5.08999,62.50999,0.064,-0.396,-0.197,,,,,,,,,
0.01028,0,0,0.01999,2.22,5.08999,62.50999,0.064,-0.396,-0.197,,,,,,,,,
0.01127,0,0,0.01999,2.22,5.08999,62.50999,0.064,-0.396,-0.197,,,,,,,,,
0.01227,0,0,0.01999,2.22,5.08999,62.50999,0.064,-0.396,-0.197,,,,,,,,,
0.01327,0,0,0.01999,2.22,5.08999,62.50999,0.064,-0.396,-0.197,,,,,,,,,
0.01427,0,0,0.01999,2.22,5.08999,62.50999,0.064,-0.396,-0.197,,,,,,,,,
0.01527,0,0,0.01999,2.22,5.08999,62.50999,0.064,-0.396,-0.197,,,,,,,,,
0.01627,0,0,0.01999,2.22,5.08999,62.50999,0.064,-0.396,-0.197,,,,,,,,,
0.01727,0,0,0.01999,2.22,5.08999,62.50999,0.064,-0.396,-0.197,,,,,,,,,
0.01827,0,0,0.01999,2.22,5.08999,62.50999,0.064,-0.396,-0.197,,,,,,,,,
0.01927,0,0,0.01999,2.22,5.08999,62.50999,0.064,-0.396,-0.197,,,,,,,,,
0.02027,0,0,0.01999,2.22,5.08999,62.50999,0.064,-0.396,-0.197,,,,,,,,,
0.02127,0,0,0.01999,2.22,5.08999,62.50999,0.064,-0.396,-0.197,,,,,,,,,
0.02227,0,0,0.01999,2.22,5.08999,62.50999,0.064,-0.396,-0.197,,,,,,,,,
0.02327,0,0,0.01999,2.22,5.08999,62.50999,0.064,-0.396,-0.197,,,,,,,,,
0.02427,0,0,0.01999,2.22,5.08999,62.50999,0.064,-0.396,-0.197,,,,,,,,,
0.02527,0,0,0.01999,2.28999,5.10999,62.48999,0.064,-0.396,-0.196,,,,,,,,,
0.02627,0,0,0.01999,2.28999,5.10999,62.48999,0.064,-0.396,-0.196,,,,,,,,,
0.02727,0,0,0.01999,2.28999,5.10999,62.48999,0.064,-0.396,-0.196,,,,,,,,,
0.02827,0,0,0.01999,2.28999,5.10999,62.48999,0.064,-0.396,-0.196,,,,,,,,,
