time(s),surface angle(deg),rotor speed(rad/s),ranging distance(m),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
0.00134,0,0,0.04699,2.36999,5.38999,62.62999,0.065,-0.4,-0.2
0.00231,0,0,0.04699,2.36999,5.38999,62.62999,0.065,-0.4,-0.2
0.00331,0,0,0.04699,2.36999,5.38999,62.62999,0.065,-0.4,-0.2
0.00431,0,0,0.04699,2.36999,5.38999,62.62999,0.065,-0.4,-0.2
0.00531,0,0,0.04699,2.36999,5.38999,62.62999,0.065,-0.4,-0.2
0.00634,0,0,0.04699,2.36999,5.38999,62.62999,0.065,-0.4,-0.2
0.00731,0,0,0.04699,2.36999,5.38999,62.62999,0.065,-0.4,-0.2
0.00838,0,0,0.04699,2.36999,5.38999,62.62999,0.065,-0.4,-0.2
0.00931,0,0,0.04699,2.32999,5.33999,62.68,0.065,-0.4,-0.20099
0.01033,0,0,0.04699,2.32999,5.33999,62.68,0.065,-0.4,-0.20099
0.0113,0,0,0.04699,2.32999,5.33999,62.68,0.065,-0.4,-0.20099
0.0123,0,0,0.04699,2.32999,5.33999,62.68,0.065,-0.4,-0.20099
0.0133,0,0,0.04699,2.32999,5.33999,62.68,0.065,-0.4,-0.20099
0.0143,0,0,0.04699,2.32999,5.33999,62.68,0.065,-0.4,-0.20099
0.0153,0,0,0.04699,2.32999,5.33999,62.68,0.065,-0.4,-0.20099
0.0163,0,0,0.04699,2.32999,5.33999,62.68,0.065,-0.4,-0.20099
0.0173,0,0,0.04699,2.32999,5.33999,62.68,0.065,-0.4,-0.20099
0.01829,0,0,0.04699,2.32999,5.33999,62.68,0.065,-0.4,-0.20099
0.0193,0,0,0.04699,2.32999,5.33999,62.68,0.065,-0.4,-0.20099
0.0203,0,0,0.04699,2.32999,5.40999,62.69999,0.06599,-0.401,-0.20099
0.0213,0,0,0.04699,2.32999,5.40999,62.69999,0.06599,-0.401,-0.20099
0.0223,0,0,0.04699,2.32999,5.40999,62.69999,0.06599,-0.401,-0.20099
0.0233,0,0,0.04699,2.32999,5.40999,62.69999,0.06599,-0.401,-0.20099
0.0243,0,0,0.04699,2.32999,5.40999,62.69999,0.06599,-0.401,-0.20099
0.0253,0,0,0.04699,2.32999,5.40999,62.69999,0.06599,-0.401,-0.20099
0.0263,0,0,0.04699,2.32999,5.40999,62.69999,0.06599,-0.401,-0.20099
0.0273,0,0,0.04699,2.32999,5.40999,62.69999,0.06599,-0.401,-0.20099
0.0283,0,0,0.04699,2.32999,5.40999,62.69999,0.06599,-0.401,-0.20099
0.0293,0,0,0.04699,2.32999,5.40999,62.69999,0.06599,-0.401,-0.20099
0.0303,0,0,0.04699,2.28999,5.36999,62.71999,0.06599,-0.399,-0.20199
0.0313,0,0,0.04699,2.28999,5.36999,62.71999,0.06599,-0.399,-0.20199
0.0323,0,0,0.04699,2.28999,5.36999,62.71999,0.06599,-0.399,-0.20199
0.03329,0,0,0.04699,2.28999,5.36999,62.71999,0.06599,-0.399,-0.20199
0.03429,0,0,0.04699,2.28999,5.36999,62.71999,0.06599,-0.399,-0.20199
0.0353,0,0,0.04699,2.28999,5.36999,62.71999,0.06599,-0.399,-0.20199
0.0363,0,0,0.04699,2.28999,5.36999,62.71999,0.06599,-0.399,-0.20199
0.0373,0,0,0.04699,2.28999,5.36999,62.71999,0.06599,-0.399,-0.20199
0.0383,0,0,0.04699,2.28999,5.36999,62.71999,0.06599,-0.399,-0.20199
0.03931,0,0,0.04699,2.28999,5.36999,62.71999,0.06599,-0.399,-0.20199
0.0403,0,0,0.04699,2.32999,5.46,62.72999,0.06599,-0.398,-0.20199
0.0413,0,0,0.04699,2.32999,5.46,62.72999,0.06599,-0.398,-0.20199
0.0423,0,0,0.04699,2.32999,5.46,62.72999,0.06599,-0.398,-0.20199
0.0433,0,0,0.04699,2.32999,5.46,62.72999,0.06599,-0.398,-0.20199
