time,imu gyro data x,imu gyro data y,imu gyro data z,imu acc data x,imu acc data y,imu acc data z,ekf acc data x,ekf acc data y,ekf acc data z,ekf _state vel,gps_vel_z,output_delayed_vel_z,output_delayed_pos_z,state attitude x,state attitude y,state attitude z,state velocity x,state velocity y,state velocity z,state position x,state position y,state position z,front_servo out,right_servo out,back_servo out,left_servo out,motor out,bettery voltage
3.331,0.00293,0.00373,-0.00506,-0.20576,-0.25361,-9.73779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.51811
3.332,0,0.00346,-0.00586,-0.21533,-0.2249,-9.70429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.51811
3.33299,-0.00159,0.00319,-0.00479,-0.18662,-0.25839,-9.74257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.51811
3.334,-0.00159,0.00319,-0.00479,-0.18662,-0.25839,-9.74257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.51811
3.335,-0.00053,0.00426,-0.00666,-0.26796,-0.21054,-9.75214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.51774
3.33599,-0.00053,0.00426,-0.00666,-0.26796,-0.21054,-9.75214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.51774
3.33699,-0.00079,0.00479,-0.00692,-0.17226,-0.25361,-9.69951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.51774
3.338,-0.00079,0.00479,-0.00692,-0.17226,-0.25361,-9.69951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.51774
3.33899,-0.00399,0.00239,-0.00506,-0.1914,-0.2249,-9.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.51774
3.33999,-0.00399,0.00239,-0.00506,-0.1914,-0.2249,-9.733,0,0,0,0,0,0,0,-0.00001,0.00008,2.99985,0,0,0,0,0,0,0,0,0,0,0,15.51749
3.341,-0.00053,0.00133,-0.00772,-0.22968,-0.22011,-9.71865,0,0,0,0,0,0,0,-0.00001,0.00008,2.99985,0,0,0,0,0,0,0,0,0,0,0,15.51749
3.342,-0.00053,0.00133,-0.00772,-0.22968,-0.22011,-9.71865,0,0,0,0,0,0,0,-0.00001,0.00008,2.99985,0,0,0,0,0,0,0,0,0,0,0,15.51749
3.34299,0.00213,0.00106,-0.00719,-0.24882,-0.2249,-9.74257,0,0,0,0,0,0,0,-0.00001,0.00008,2.99985,0,0,0,0,0,0,0,0,0,0,0,15.51749
3.344,0.00213,0.00106,-0.00719,-0.24882,-0.2249,-9.74257,0,0,0,0,0,0,0,-0.00001,0.00008,2.99985,0,0,0,0,0,0,0,0,0,0,0,15.51749
3.345,0.00452,0.00133,-0.00612,-0.21054,-0.29189,-9.80957,0,0,0,0,0,0,0,-0.00001,0.00008,2.99985,0,0,0,0,0,0,0,0,0,0,0,15.51716
3.34599,0.00452,0.00133,-0.00612,-0.21054,-0.29189,-9.80957,0,0,0,0,0,0,0,-0.00001,0.00008,2.99985,0,0,0,0,0,0,0,0,0,0,0,15.51716
3.34699,-0.00159,0,-0.00452,-0.19619,-0.23925,-9.77128,0,0,0,0,0,0,0,-0.00001,0.00008,2.99985,0,0,0,0,0,0,0,0,0,0,0,15.51716
3.348,-0.00159,0,-0.00452,-0.19619,-0.23925,-9.77128,0,0,0,0,0,0,0,-0.00001,0.00008,2.99985,0,0,0,0,0,0,0,0,0,0,0,15.51716
3.34899,0,-0.00026,-0.00532,-0.21533,-0.25361,-9.7665,0,0,0,0,0,0,0,-0.00001,0.00008,2.99985,0,0,0,0,0,0,0,0,0,0,0,15.51716
