time,target gyro x,target gyro y,target gyro z,gyro x,gyro y,gyro z,target angle x,target angle y,target angle z,angle x,angle y,angle z,target vel z,vel z,target pos z,pos z,desire thrust,desire rotor speed,rotor speed,motor_output,bettery voltage,height,thrust,K_T,acc_z_d,acc_z_com
87.35299,0.85090,0.34468,0.78836,-0.10325,-0.08418,0.13417,0.04150,-0.03058,2.23818,0.03133,-0.06303,2.07811,0.01935,-0.03533,-0.65019,-0.66310,-4.40092,821.44738,825.75701,0.54897,13.92190,0.66310,-0.13076,6.52205,9.55459,9.42382
87.35399,0.85090,0.34468,0.78836,-0.10325,-0.08418,0.13417,0.04150,-0.03058,2.23818,0.03133,-0.06303,2.07811,0.01935,-0.03533,-0.65019,-0.66310,-4.40092,821.44738,825.75701,0.54897,13.92214,0.66310,-0.13109,6.52205,9.55459,9.42349
87.35500,0.85090,0.34468,0.78836,-0.09307,-0.08173,0.13334,0.04150,-0.03058,2.23818,0.03133,-0.06303,2.07811,0.01935,-0.03533,-0.65019,-0.66310,-4.40062,821.41906,825.75701,0.54892,13.92238,0.66310,-0.13141,6.52205,9.55459,9.42317
87.35600,0.85090,0.34468,0.78836,-0.09307,-0.08173,0.13334,0.04150,-0.03058,2.23818,0.03133,-0.06303,2.07811,0.01935,-0.03533,-0.65019,-0.66310,-4.40062,821.41906,825.75701,0.54892,13.92261,0.66310,-0.13161,6.52205,9.55459,9.42297
87.35700,0.85090,0.34468,0.78836,-0.08649,-0.07782,0.13410,0.04150,-0.03058,2.23818,0.03133,-0.06303,2.07811,0.01935,-0.03533,-0.65019,-0.66310,-4.40043,821.40209,825.75701,0.54889,13.92286,0.66310,-0.13180,6.52205,9.55459,9.42278
87.35800,0.85090,0.34468,0.78836,-0.08649,-0.07782,0.13410,0.04150,-0.03058,2.23818,0.03133,-0.06303,2.07811,0.01935,-0.03533,-0.65019,-0.66310,-4.40043,821.40209,825.75701,0.54889,13.92310,0.66310,-0.13200,6.52205,9.55459,9.42258
87.35900,0.85090,0.34468,0.78836,-0.08586,-0.07774,0.13591,0.04150,-0.03058,2.23818,0.03133,-0.06303,2.07811,0.01935,-0.03533,-0.65019,-0.66310,-4.40025,821.38488,825.75701,0.54886,13.92334,0.66310,-0.13220,6.52205,9.55459,9.42238
87.36000,0.85090,0.34468,0.78836,-0.08586,-0.07774,0.13591,0.04150,-0.03058,2.23818,0.03133,-0.06303,2.07811,0.01935,-0.03533,-0.65019,-0.66310,-4.40025,821.38488,825.75701,0.54886,13.92359,0.66310,-0.13240,6.52205,9.55459,9.42218
87.36100,0.85090,0.34468,0.78836,-0.07902,-0.07798,0.13675,0.04150,-0.03058,2.23818,0.03133,-0.06303,2.07811,0.01935,-0.03533,-0.65019,-0.66310,-4.40006,821.36743,826.51739,0.54882,13.92384,0.66370,-0.13261,6.52204,9.55459,9.42198
87.36199,0.85090,0.34468,0.78836,-0.07902,-0.07798,0.13675,0.04150,-0.03058,2.23818,0.03133,-0.06303,2.07811,0.01935,-0.03533,-0.65019,-0.66310,-4.40006,821.36743,828.04235,0.54882,13.92409,0.66370,-0.13264,6.52204,9.55459,9.42194
87.36299,-1.57079,1.57079,0.63714,-0.06818,-0.07295,0.13825,-0.18327,0.22180,2.23818,0.03042,-0.06408,2.07952,0.54524,-0.03401,-0.30019,-0.66370,-3.43254,725.46392,826.51739,0.46937,13.92434,0.66370,-0.13682,6.52204,7.48701,7.35019
87.36399,-1.57079,1.57079,0.63714,-0.06818,-0.07295,0.13825,-0.18327,0.22180,2.23818,0.03042,-0.06408,2.07952,0.54524,-0.03401,-0.30019,-0.66370,-3.43254,725.46392,828.42437,0.46937,13.92459,0.66370,-0.14079,6.52204,7.48701,7.34622
87.36499,-1.57079,1.57079,0.63714,-0.06715,-0.06733,0.14240,-0.18327,0.22180,2.23818,0.03042,-0.06408,2.07952,0.54524,-0.03401,-0.30019,-0.66370,-3.42883,725.07202,828.80694,0.46903,13.92484,0.66370,-0.14475,6.52204,7.48701,7.34225
87.36599,-1.57079,1.57079,0.63714,-0.06715,-0.06733,0.14240,-0.18327,0.22180,2.23818,0.03042,-0.06408,2.07952,0.54524,-0.03401,-0.30019,-0.66370,-3.42883,725.07202,828.80694,0.46903,13.92510,0.66370,-0.14869,6.52204,7.48701,7.33832
87.36699,-1.57079,1.57079,0.63714,-0.07058,-0.06744,0.14672,-0.18327,0.22180,2.23818,0.03042,-0.06408,2.07952,0.54524,-0.03401,-0.30019,-0.66370,-3.42516,724.68353,828.80694,0.46869,13.92536,0.66370,-0.15262,6.52204,7.48701,7.33439
87.36799,-1.57079,1.57079,0.63714,-0.07058,-0.06744,0.14672,-0.18327,0.22180,2.23818,0.03042,-0.06408,2.07952,0.54524,-0.03401,-0.30019,-0.66370,-3.42516,724.68353,828.80694,0.46869,13.92561,0.66370,-0.15659,6.52204,7.48701,7.33042
87.36900,-1.57079,1.57079,0.63714,-0.06271,-0.06913,0.14828,-0.18327,0.22180,2.23818,0.03042,-0.06408,2.07952,0.54524,-0.03401,-0.30019,-0.66370,-3.42145,724.29113,828.80694,0.46834,13.92587,0.66370,-0.16056,6.52204,7.48701,7.32644
87.37000,-1.57079,1.57079,0.63714,-0.06271,-0.06913,0.14828,-0.18327,0.22180,2.23818,0.03042,-0.06408,2.07952,0.54524,-0.03401,-0.30019,-0.66370,-3.42145,724.29113,828.80694,0.46834,13.92613,0.66370,-0.16450,6.52204,7.48701,7.32251
87.37100,-1.57079,1.57079,0.63714,-0.04970,-0.06683,0.14846,-0.18327,0.22180,2.23818,0.03042,-0.06408,2.07952,0.54524,-0.03401,-0.30019,-0.66370,-3.41777,723.90185,831.87939,0.46800,13.92639,0.66400,-0.16844,6.52204,7.48701,7.31857
87.37200,-1.57079,1.57079,0.63714,-0.04970,-0.06683,0.14846,-0.18327,0.22180,2.23818,0.03042,-0.06408,2.07952,0.54524,-0.03401,-0.30019,-0.66370,-3.41777,723.90185,831.87939,0.46800,13.92666,0.66400,-0.17241,6.52204,7.48701,7.31460
87.37300,0.27121,0.90068,0.75748,-0.04760,-0.06381,0.14894,-0.08956,0.11596,2.23818,0.02970,-0.06495,2.08107,0.54570,-0.03134,-0.30019,-0.66400,-3.31206,712.61956,831.87939,0.45864,13.92692,0.66400,-0.17681,6.52204,7.26904,7.09222
87.37400,0.27121,0.90068,0.75748,-0.04760,-0.06381,0.14894,-0.08956,0.11596,2.23818,0.02970,-0.06495,2.08107,0.54570,-0.03134,-0.30019,-0.66400,-3.31206,712.61956,854.04180,0.45864,13.92719,0.66400,-0.18140,6.52204,7.26904,7.08764
87.37500,0.27121,0.90068,0.75748,-0.05030,-0.06285,0.14893,-0.08956,0.11596,2.23818,0.02970,-0.06495,2.08107,0.54570,-0.03134,-0.30019,-0.66400,-3.30778,712.15893,831.87939,0.45824,13.92745,0.66400,-0.18598,6.52204,7.26904,7.08305
87.37599,0.27121,0.90068,0.75748,-0.05030,-0.06285,0.14893,-0.08956,0.11596,2.23818,0.02970,-0.06495,2.08107,0.54570,-0.03134,-0.30019,-0.66400,-3.30778,712.15893,824.24047,0.45824,13.92772,0.66400,-0.19067,6.52204,7.26904,7.07836
87.37699,0.27121,0.90068,0.75748,-0.04371,-0.05905,0.15031,-0.08956,0.11596,2.23818,0.02970,-0.06495,2.08107,0.54570,-0.03134,-0.30019,-0.66400,-3.30340,711.68682,824.24047,0.45784,13.92799,0.66400,-0.19537,6.52204,7.26904,7.07367
87.37799,0.27121,0.90068,0.75748,-0.04371,-0.05905,0.15031,-0.08956,0.11596,2.23818,0.02970,-0.06495,2.08107,0.54570,-0.03134,-0.30019,-0.66400,-3.30340,711.68682,848.39117,0.45784,13.92826,0.66400,-0.20002,6.52204,7.26904,7.06901
87.37899,0.27121,0.90068,0.75748,-0.03469,-0.05075,0.15878,-0.08956,0.11596,2.23818,0.02970,-0.06495,2.08107,0.54570,-0.03134,-0.30019,-0.66400,-3.29905,711.21844,848.39117,0.45743,13.92853,0.66400,-0.20467,6.52204,7.26904,7.06436
87.37999,0.27121,0.90068,0.75748,-0.03469,-0.05075,0.15878,-0.08956,0.11596,2.23818,0.02970,-0.06495,2.08107,0.54570,-0.03134,-0.30019,-0.66400,-3.29905,711.21844,848.39117,0.45743,13.92880,0.66400,-0.20934,6.52204,7.26904,7.05970
87.38099,0.27121,0.90068,0.75748,-0.03425,-0.04456,0.17652,-0.08956,0.11596,2.23818,0.02970,-0.06495,2.08107,0.54570,-0.03134,-0.30019,-0.66400,-3.29470,710.74908,848.39117,0.45702,13.92907,0.66400,-0.21400,6.52204,7.26904,7.05504
87.38200,0.27121,0.90068,0.75748,-0.03425,-0.04456,0.17652,-0.08956,0.11596,2.23818,0.02970,-0.06495,2.08107,0.54570,-0.03134,-0.30019,-0.66400,-3.29470,710.74908,814.51715,0.45702,13.92934,0.66400,-0.21876,6.52204,7.26904,7.05027
87.38300,0.99360,0.06684,0.77382,-0.03411,-0.04293,0.20032,-0.04468,0.06415,2.23818,0.02917,-0.06568,2.08276,0.54570,-0.03134,-0.30019,-0.66400,-3.26417,707.44805,812.30578,0.45427,13.92962,0.66400,-0.22363,6.52204,7.21330,6.98966
87.38400,0.99360,0.06684,0.77382,-0.03411,-0.04293,0.20032,-0.04468,0.06415,2.23818,0.02917,-0.06568,2.08276,0.54570,-0.03134,-0.30019,-0.66400,-3.26417,707.44805,805.02056,0.45427,13.92989,0.66400,-0.22850,6.52204,7.21330,6.98479
87.38500,0.99360,0.06684,0.77382,-0.02723,-0.04001,0.22891,-0.04468,0.06415,2.23818,0.02917,-0.06568,2.08276,0.54570,-0.03134,-0.30019,-0.66400,-3.25962,706.95495,799.99810,0.45385,13.93017,0.66400,-0.23337,6.52204,7.21330,6.97992
87.38600,0.99360,0.06684,0.77382,-0.02723,-0.04001,0.22891,-0.04468,0.06415,2.23818,0.02917,-0.06568,2.08276,0.54570,-0.03134,-0.30019,-0.66400,-3.25962,706.95495,799.99810,0.45385,13.93045,0.66400,-0.23811,6.52204,7.21330,6.97518
87.38700,0.99360,0.06684,0.77382,-0.02544,-0.03375,0.26503,-0.04468,0.06415,2.23818,0.02917,-0.06568,2.08276,0.54570,-0.03134,-0.30019,-0.66400,-3.25520,706.47534,797.15625,0.45343,13.93072,0.66400,-0.24284,6.52204,7.21330,6.97045
87.38800,0.99360,0.06684,0.77382,-0.02544,-0.03375,0.26503,-0.04468,0.06415,2.23818,0.02917,-0.06568,2.08276,0.54570,-0.03134,-0.30019,-0.66400,-3.25520,706.47534,795.74279,0.45343,13.93100,0.66400,-0.24751,6.52204,7.21330,6.96578
87.38899,0.99360,0.06684,0.77382,-0.03391,-0.02914,0.30946,-0.04468,0.06415,2.23818,0.02917,-0.06568,2.08276,0.54570,-0.03134,-0.30019,-0.66400,-3.25083,706.00177,793.63208,0.45302,13.93128,0.66400,-0.25218,6.52204,7.21330,6.96111
87.38999,0.99360,0.06684,0.77382,-0.03391,-0.02914,0.30946,-0.04468,0.06415,2.23818,0.02917,-0.06568,2.08276,0.54570,-0.03134,-0.30019,-0.66400,-3.25083,706.00177,793.63208,0.45302,13.93157,0.66400,-0.25686,6.52204,7.21330,6.95643
87.39099,0.99360,0.06684,0.77382,-0.03670,-0.02623,0.36037,-0.04468,0.06415,2.23818,0.02917,-0.06568,2.08276,0.54570,-0.03134,-0.30019,-0.66400,-3.24647,705.52777,791.53253,0.45261,13.93185,0.66459,-0.26153,6.52204,7.21330,6.95176
87.39199,0.99360,0.06684,0.77382,-0.03670,-0.02623,0.36037,-0.04468,0.06415,2.23818,0.02917,-0.06568,2.08276,0.54570,-0.03134,-0.30019,-0.66400,-3.24647,705.52777,785.98767,0.45261,13.93213,0.66459,-0.26604,6.52204,7.21330,6.94725
87.39299,0.89253,0.17230,0.75508,-0.02729,-0.01840,0.41880,-0.02753,0.04358,2.23818,0.02856,-0.06616,2.08591,0.54660,-0.03427,-0.30019,-0.66459,-3.22837,703.55865,785.98767,0.45096,13.93242,0.66459,-0.27061,6.52204,7.18362,6.91301
