time,target gyro x,target gyro y,target gyro z,gyro x,gyro y,gyro z,target angle x,target angle y,target angle z,angle x,angle y,angle z,target vel z,vel z,target pos z,pos z,desire thrust,desire rotor speed,rotor speed,motor_output,bettery voltage,height,thrust,K_T,acc_z_d,acc_z_com
69.77500,0.74084,0.29792,-0.49719,-0.18110,0.05714,-0.17613,0.03862,-0.00022,1.83638,0.04516,-0.02487,1.93306,0.02880,0.00560,-0.64979,-0.66900,-4.46158,827.09240,822.72949,0.55114,13.98523,0.66900,-0.13724,6.52200,9.69085,9.55360
69.77600,0.74084,0.29792,-0.49719,-0.17487,0.05657,-0.19204,0.03862,-0.00022,1.83638,0.04516,-0.02487,1.93306,0.02880,0.00560,-0.64979,-0.66900,-4.46145,827.08032,822.72949,0.55112,13.98526,0.66900,-0.13740,6.52200,9.69085,9.55344
69.77700,0.74084,0.29792,-0.49719,-0.17487,0.05657,-0.19204,0.03862,-0.00022,1.83638,0.04516,-0.02487,1.93306,0.02880,0.00560,-0.64979,-0.66900,-4.46145,827.08032,825.75701,0.55112,13.98530,0.66900,-0.13740,6.52200,9.69085,9.55344
69.77799,0.74084,0.29792,-0.49719,-0.16580,0.06348,-0.20506,0.03862,-0.00022,1.83638,0.04516,-0.02487,1.93306,0.02880,0.00560,-0.64979,-0.66900,-4.46146,827.08068,827.27917,0.55112,13.98534,0.66900,-0.13740,6.52200,9.69085,9.55344
69.77899,0.74084,0.29792,-0.49719,-0.16580,0.06348,-0.20506,0.03862,-0.00022,1.83638,0.04516,-0.02487,1.93306,0.02880,0.00560,-0.64979,-0.66900,-4.46146,827.08068,827.27917,0.55112,13.98538,0.66900,-0.13720,6.52200,9.69085,9.55364
69.77999,-1.57079,-1.06154,-0.42298,-0.16794,0.07105,-0.21486,-0.17710,-0.06954,1.83638,0.04117,-0.02357,1.92967,0.55364,0.00295,-0.29980,-0.66890,-3.41026,723.10821,827.27917,0.46537,13.98542,0.66890,-0.14150,6.52200,7.44399,7.30249
69.78099,-1.57079,-1.06154,-0.42298,-0.16794,0.07105,-0.21486,-0.17710,-0.06954,1.83638,0.04117,-0.02357,1.92967,0.55364,0.00295,-0.29980,-0.66890,-3.41026,723.10821,828.80694,0.46537,13.98546,0.66890,-0.14576,6.52200,7.44399,7.29823
69.78199,-1.57079,-1.06154,-0.42298,-0.17519,0.07261,-0.22565,-0.17710,-0.06954,1.83638,0.04117,-0.02357,1.92967,0.55364,0.00295,-0.29980,-0.66890,-3.40628,722.68597,828.80694,0.46502,13.98550,0.66890,-0.15003,6.52200,7.44399,7.29396
69.78299,-1.57079,-1.06154,-0.42298,-0.17519,0.07261,-0.22565,-0.17710,-0.06954,1.83638,0.04117,-0.02357,1.92967,0.55364,0.00295,-0.29980,-0.66890,-3.40628,722.68597,828.80694,0.46502,13.98554,0.66890,-0.15426,6.52200,7.44399,7.28973
69.78399,-1.57079,-1.06154,-0.42298,-0.17414,0.07298,-0.24002,-0.17710,-0.06954,1.83638,0.04117,-0.02357,1.92967,0.55364,0.00295,-0.29980,-0.66890,-3.40232,722.26611,828.80694,0.46467,13.98558,0.66890,-0.15850,6.52200,7.44399,7.28549
69.78500,-1.57079,-1.06154,-0.42298,-0.17414,0.07298,-0.24002,-0.17710,-0.06954,1.83638,0.04117,-0.02357,1.92967,0.55364,0.00295,-0.29980,-0.66890,-3.40232,722.26611,825.75701,0.46467,13.98563,0.66890,-0.16265,6.52200,7.44399,7.28134
69.78600,-1.57079,-1.06154,-0.42298,-0.17162,0.07647,-0.25570,-0.17710,-0.06954,1.83638,0.04117,-0.02357,1.92967,0.55364,0.00295,-0.29980,-0.66890,-3.39845,721.85473,825.75701,0.46433,13.98567,0.66890,-0.16680,6.52200,7.44399,7.27719
69.78700,-1.57079,-1.06154,-0.42298,-0.17162,0.07647,-0.25570,-0.17710,-0.06954,1.83638,0.04117,-0.02357,1.92967,0.55364,0.00295,-0.29980,-0.66890,-3.39845,721.85473,825.75701,0.46433,13.98572,0.66890,-0.17099,6.52200,7.44399,7.27300
69.78800,-1.57079,-1.06154,-0.42298,-0.17839,0.07835,-0.27086,-0.17710,-0.06954,1.83638,0.04117,-0.02357,1.92967,0.55364,0.00295,-0.29980,-0.66890,-3.39453,721.43884,825.75701,0.46399,13.98576,0.66890,-0.17518,6.52200,7.44399,7.26881
69.78900,-1.57079,-1.06154,-0.42298,-0.17839,0.07835,-0.27086,-0.17710,-0.06954,1.83638,0.04117,-0.02357,1.92967,0.55364,0.00295,-0.29980,-0.66890,-3.39453,721.43884,825.75701,0.46399,13.98581,0.66890,-0.17955,6.52200,7.44399,7.26444
