time,target gyro x,target gyro y,target gyro z,gyro x,gyro y,gyro z,target angle x,target angle y,target angle z,angle x,angle y,angle z,target vel z,vel z,target pos z,pos z,desire thrust,desire rotor speed,rotor speed,motor_output,bettery voltage,height,thrust,K_T,acc_z_d,acc_z_com
38.15599,1.07161,0.11124,0.82626,0.02503,0.09202,-0.31249,0.07990,-0.03391,2.20392,0.02435,-0.04108,2.03803,0.01890,0.00951,-0.65019,-0.66280,-4.43410,824.57928,831.10913,0.62604,12.26561,0.66280,-0.30154,0.00000,9.79672,9.49518
38.15700,1.07161,0.11124,0.82626,0.02853,0.09345,-0.29080,0.07990,-0.03391,2.20392,0.02435,-0.04108,2.03803,0.01890,0.00951,-0.65019,-0.66280,-4.43427,824.59515,832.65112,0.62606,12.26547,0.66280,-0.30149,0.00000,9.79672,9.49523
38.15800,1.07161,0.11124,0.82626,0.02853,0.09345,-0.29080,0.07990,-0.03391,2.20392,0.02435,-0.04108,2.03803,0.01890,0.00951,-0.65019,-0.66280,-4.43427,824.59515,832.65112,0.62606,12.26533,0.66259,-0.30145,0.00000,9.79672,9.49527
38.15900,1.07161,0.11124,0.82626,0.03318,0.08509,-0.28327,0.07990,-0.03391,2.20392,0.02435,-0.04108,2.03803,0.01890,0.00951,-0.65019,-0.66280,-4.43418,824.58721,832.65112,0.62607,12.26519,0.66259,-0.30168,0.00000,9.79672,9.49504
38.15999,1.07161,0.11124,0.82626,0.03318,0.08509,-0.28327,0.07990,-0.03391,2.20392,0.02435,-0.04108,2.03803,0.01890,0.00951,-0.65019,-0.66280,-4.43418,824.58721,834.19879,0.62607,12.26505,0.66259,-0.30190,0.00000,9.79672,9.49481
38.16099,1.07161,0.11124,0.82626,0.04102,0.08158,-0.27747,0.07990,-0.03391,2.20392,0.02435,-0.04108,2.03803,0.01890,0.00951,-0.65019,-0.66280,-4.43399,824.56933,836.53112,0.62607,12.26490,0.66259,-0.30209,0.00000,9.79672,9.49463
38.16199,1.07161,0.11124,0.82626,0.04102,0.08158,-0.27747,0.07990,-0.03391,2.20392,0.02435,-0.04108,2.03803,0.01890,0.00951,-0.65019,-0.66280,-4.43399,824.56933,836.53112,0.62607,12.26474,0.66259,-0.30227,0.00000,9.79672,9.49445
38.16299,1.07161,0.11124,0.82626,0.04491,0.08053,-0.27040,0.07990,-0.03391,2.20392,0.02435,-0.04108,2.03803,0.01890,0.00951,-0.65019,-0.66280,-4.43391,824.56225,834.19879,0.62608,12.26459,0.66259,-0.30225,0.00000,9.79672,9.49447
38.16400,1.07161,0.11124,0.82626,0.04491,0.08053,-0.27040,0.07990,-0.03391,2.20392,0.02435,-0.04108,2.03803,0.01890,0.00951,-0.65019,-0.66280,-4.43391,824.56225,834.19879,0.62608,12.26443,0.66259,-0.30223,0.00000,9.79672,9.49449
38.16500,-1.57079,1.57079,0.77695,0.04979,0.07514,-0.26569,-0.21766,0.10321,2.20392,0.02452,-0.03998,2.03507,0.54359,0.01109,-0.30020,-0.66259,-3.79597,762.94158,834.19879,0.56815,12.26426,0.66259,-0.30488,0.00000,8.43331,8.12842
