time,target gyro x,target gyro y,target gyro z,gyro x,gyro y,gyro z,target angle x,target angle y,target angle z,angle x,angle y,angle z,target vel z,vel z,target pos z,pos z,desire thrust,desire rotor speed,rotor speed,motor_output,bettery voltage,height,thrust,K_T,acc_z_d,acc_z_com
53.67100,0.58972,0.52389,0.27940,-0.24469,0.08289,0.06692,-0.03529,0.00834,0.01299,-0.01472,-0.04262,-0.04138,0.01155,-0.02612,-0.65000,-0.65770,-4.32980,814.78057,831.87939,0.63442,11.92558,0.65810,-0.40981,6.52209,9.68134,9.27153
53.67200,0.58972,0.52389,0.27940,-0.24469,0.08289,0.06692,-0.03529,0.00834,0.01299,-0.01472,-0.04262,-0.04138,0.01155,-0.02612,-0.65000,-0.65770,-4.32980,814.78057,831.87939,0.63442,11.92596,0.65810,-0.40978,6.52209,9.68134,9.27156
53.67300,0.58972,0.52389,0.27940,-0.24467,0.08432,0.07072,-0.03529,0.00834,0.01299,-0.01472,-0.04262,-0.04138,0.01155,-0.02612,-0.65000,-0.65770,-4.32983,814.78314,831.87939,0.63438,11.92635,0.65810,-0.40975,6.52209,9.68134,9.27159
53.67399,0.58972,0.52389,0.27940,-0.24467,0.08432,0.07072,-0.03529,0.00834,0.01299,-0.01472,-0.04262,-0.04138,0.01155,-0.02612,-0.65000,-0.65770,-4.32983,814.78314,830.34033,0.63438,11.92674,0.65810,-0.40970,6.52209,9.68134,9.27163
53.67499,1.57079,1.57079,0.31273,-0.23794,0.08689,0.07559,0.07353,0.11791,0.01299,-0.01750,-0.04183,-0.04061,0.53715,-0.02542,-0.30000,-0.65810,-3.62688,745.71569,831.87939,0.56755,11.92714,0.65810,-0.41267,6.52209,8.17902,7.76635
53.67599,1.57079,1.57079,0.31273,-0.23794,0.08689,0.07559,0.07353,0.11791,0.01299,-0.01750,-0.04183,-0.04061,0.53715,-0.02542,-0.30000,-0.65810,-3.62688,745.71569,839.66131,0.56755,11.92754,0.65810,-0.41554,6.52209,8.17902,7.76347
53.67699,1.57079,1.57079,0.31273,-0.23475,0.09463,0.08410,0.07353,0.11791,0.01299,-0.01750,-0.04183,-0.04061,0.53715,-0.02542,-0.30000,-0.65810,-3.62420,745.43981,839.66131,0.56724,11.92796,0.65810,-0.41841,6.52209,8.17902,7.76060
53.67800,1.57079,1.57079,0.31273,-0.23475,0.09463,0.08410,0.07353,0.11791,0.01299,-0.01750,-0.04183,-0.04061,0.53715,-0.02542,-0.30000,-0.65810,-3.62420,745.43981,1438.45812,0.56724,11.92838,0.65810,-0.42144,6.52209,8.17902,7.75757
53.67900,1.57079,1.57079,0.31273,-0.23734,0.09902,0.09076,0.07353,0.11791,0.01299,-0.01750,-0.04183,-0.04061,0.53715,-0.02542,-0.30000,-0.65810,-3.62137,745.14904,1438.45812,0.56692,11.92880,0.65810,-0.42446,6.52209,8.17902,7.75455
53.68000,1.57079,1.57079,0.31273,-0.23734,0.09902,0.09076,0.07353,0.11791,0.01299,-0.01750,-0.04183,-0.04061,0.53715,-0.02542,-0.30000,-0.65810,-3.62137,745.14904,839.66131,0.56692,11.92924,0.65810,-0.42788,6.52209,8.17902,7.75114
53.68099,1.57079,1.57079,0.31273,-0.23632,0.09886,0.08797,0.07353,0.11791,0.01299,-0.01750,-0.04183,-0.04061,0.53715,-0.02542,-0.30000,-0.65810,-3.61818,744.82116,830.34033,0.56656,11.92968,0.65810,-0.43129,6.52209,8.17902,7.74772
53.68199,1.57079,1.57079,0.31273,-0.23632,0.09886,0.08797,0.07353,0.11791,0.01299,-0.01750,-0.04183,-0.04061,0.53715,-0.02542,-0.30000,-0.65810,-3.61818,744.82116,830.34033,0.56656,11.93012,0.65810,-0.43496,6.52209,8.17902,7.74405
53.68299,1.57079,1.57079,0.31273,-0.23176,0.10438,0.07941,0.07353,0.11791,0.01299,-0.01750,-0.04183,-0.04061,0.53715,-0.02542,-0.30000,-0.65810,-3.61476,744.46832,828.80694,0.56618,11.93058,0.65810,-0.43863,6.52209,8.17902,7.74039
53.68399,1.57079,1.57079,0.31273,-0.23176,0.10438,0.07941,0.07353,0.11791,0.01299,-0.01750,-0.04183,-0.04061,0.53715,-0.02542,-0.30000,-0.65810,-3.61476,744.46832,828.80694,0.56618,11.93103,0.65810,-0.44238,6.52209,8.17902,7.73664
