time,target gyro x,target gyro y,target gyro z,gyro x,gyro y,gyro z,target angle x,target angle y,target angle z,angle x,angle y,angle z,target vel z,vel z,target pos z,pos z,desire thrust,desire rotor speed,rotor speed,motor_output,bettery voltage,height,thrust,K_T,acc_z_d,acc_z_com,,,,,,,,,,,,,,,,,,,,,,,,,
46.14099,0.63794,0.1335,0.3984,-0.079,-0.2081,0.06411,0.04224,0.00751,2.01787,0.04918,0.02086,1.93695,0.02055,0.00509,-0.65019,-0.66389,-4.49328,830.02301,825.75701,0.56861,13.61455,0.66389,-0.10559,6.52204,9.72738,9.62179,,,,,,,,,,,,,,,,,,,,,,,,,
46.14199,0.63794,0.1335,0.3984,-0.07473,-0.20717,0.06079,0.04224,0.00751,2.01787,0.04918,0.02086,1.93695,0.02055,0.00509,-0.65019,-0.66389,-4.49347,830.04003,829.57287,0.56865,13.61422,0.66389,-0.10539,6.52204,9.72738,9.62199,,,,,,,,,,,,,,,,,,,,,,,,,
46.143,0.63794,0.1335,0.3984,-0.07473,-0.20717,0.06079,0.04224,0.00751,2.01787,0.04918,0.02086,1.93695,0.02055,0.00509,-0.65019,-0.66389,-4.49347,830.04003,831.10913,0.56865,13.61388,0.66389,-0.10518,6.52204,9.72738,9.6222,,,,,,,,,,,,,,,,,,,,,,,,,
46.144,0.63794,0.1335,0.3984,-0.07742,-0.21066,0.05758,0.04224,0.00751,2.01787,0.04918,0.02086,1.93695,0.02055,0.00509,-0.65019,-0.66389,-4.4936,830.052,831.10913,0.56869,13.61356,0.66389,-0.10511,6.52204,9.72738,9.62227,,,,,,,,,,,,,,,,,,,,,,,,,
46.145,0.63794,0.1335,0.3984,-0.07742,-0.21066,0.05758,0.04224,0.00751,2.01787,0.04918,0.02086,1.93695,0.02055,0.00509,-0.65019,-0.66389,-4.4936,830.052,825.75701,0.56869,13.61324,0.66389,-0.10503,6.52204,9.72738,9.62234,,,,,,,,,,,,,,,,,,,,,,,,,
46.14599,0.63794,0.1335,0.3984,-0.07183,-0.21225,0.05323,0.04224,0.00751,2.01787,0.04918,0.02086,1.93695,0.02055,0.00509,-0.65019,-0.66389,-4.49363,830.05548,825.75701,0.56872,13.61292,0.66389,-0.10503,6.52204,9.72738,9.62235,,,,,,,,,,,,,,,,,,,,,,,,,
46.14699,0.63794,0.1335,0.3984,-0.07183,-0.21225,0.05323,0.04224,0.00751,2.01787,0.04918,0.02086,1.93695,0.02055,0.00509,-0.65019,-0.66389,-4.49363,830.05548,824.99804,0.56872,13.61261,0.66389,-0.10502,6.52204,9.72738,9.62236,,,,,,,,,,,,,,,,,,,,,,,,,
46.14799,0.63794,0.1335,0.3984,-0.06771,-0.21107,0.05061,0.04224,0.00751,2.01787,0.04918,0.02086,1.93695,0.02055,0.00509,-0.65019,-0.66389,-4.49365,830.05682,824.99804,0.56875,13.61231,0.66389,-0.105,6.52204,9.72738,9.62238,,,,,,,,,,,,,,,,,,,,,,,,,
46.14899,0.63794,0.1335,0.3984,-0.06771,-0.21107,0.05061,0.04224,0.00751,2.01787,0.04918,0.02086,1.93695,0.02055,0.00509,-0.65019,-0.66389,-4.49365,830.05682,824.99804,0.56875,13.61201,0.66389,-0.10497,6.52204,9.72738,9.6224,,,,,,,,,,,,,,,,,,,,,,,,,
46.15,-1.57079,-1.57079,0.47949,-0.07114,-0.21328,0.0491,-0.19312,-0.08243,2.01787,0.04884,0.01869,1.93748,0.69554,0.00153,-0.2002,-0.66389,-3.18938,699.2962,824.99804,0.45797,13.61171,0.66389,-0.11065,6.52204,6.94015,6.8295,,,,,,,,,,,,,,,,,,,,,,,,,
46.151,-1.57079,-1.57079,0.47949,-0.07114,-0.21328,0.0491,-0.19312,-0.08243,2.01787,0.04884,0.01869,1.93748,0.69554,0.00153,-0.2002,-0.66389,-3.18938,699.2962,824.99804,0.45797,13.61143,0.66389,-0.11632,6.52204,6.94015,6.82383,,,,,,,,,,,,,,,,,,,,,,,,,
46.152,-1.57079,-1.57079,0.47949,-0.07,-0.21783,0.04581,-0.19312,-0.08243,2.01787,0.04884,0.01869,1.93748,0.69554,0.00153,-0.2002,-0.66389,-3.18397,698.70349,829.57287,0.45749,13.61114,0.66389,-0.12222,6.52204,6.94015,6.81793,,,,,,,,,,,,,,,,,,,,,,,,,
46.15299,-1.57079,-1.57079,0.47949,-0.07,-0.21783,0.04581,-0.19312,-0.08243,2.01787,0.04884,0.01869,1.93748,0.69554,0.00153,-0.2002,-0.66389,-3.18397,698.70349,828.80694,0.45749,13.61086,0.66389,-0.12812,6.52204,6.94015,6.81203,,,,,,,,,,,,,,,,,,,,,,,,,
46.15399,-1.57079,-1.57079,0.47949,-0.06032,-0.21717,0.04131,-0.19312,-0.08243,2.01787,0.04884,0.01869,1.93748,0.69554,0.00153,-0.2002,-0.66389,-3.17842,698.09356,828.80694,0.45699,13.61059,0.66389,-0.13412,6.52204,6.94015,6.80603,,,,,,,,,,,,,,,,,,,,,,,,,
46.15499,-1.57079,-1.57079,0.47949,-0.06032,-0.21717,0.04131,-0.19312,-0.08243,2.01787,0.04884,0.01869,1.93748,0.69554,0.00153,-0.2002,-0.66389,-3.17842,698.09356,828.80694,0.45699,13.61032,0.66389,-0.14011,6.52204,6.94015,6.80003,,,,,,,,,,,,,,,,,,,,,,,,,
46.15599,-1.57079,-1.57079,0.47949,-0.05647,-0.21267,0.03793,-0.19312,-0.08243,2.01787,0.04884,0.01869,1.93748,0.69554,0.00153,-0.2002,-0.66389,-3.17282,697.47882,828.80694,0.45649,13.61006,0.66389,-0.1461,6.52204,6.94015,6.79405,,,,,,,,,,,,,,,,,,,,,,,,,
