time(s),moment_x(N·m),moment_y(N·m),moment_z(N·m),motor_angle_1(rad),motor_angle_2(rad),motor_angle_3(rad),motor_angle_4(rad),target_moment(N·m),rotor_speed(m/s)
0,-0.116,-0.128,0.000932,0.00137,-0.00833,-0.00019,0.00951,0,28.96131
0,-0.116,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.116,-0.128,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.12699,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.12699,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.12699,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.12699,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.12699,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.12699,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.12699,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.12699,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.12699,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.12699,0.000932,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.001864,0,0,0,0,0,28.96131
0,-0.117,-0.128,0.001864,0,0,0,0,0,28.96131
0,-0.12,-0.129,0.003728,0,0,0,0,0,28.96131
0,-0.12,-0.129,0.003728,0,0,0,0,0,28.96131
0,-0.12,-0.129,0.003728,0,0,0,0,0,28.96131
0,-0.12,-0.129,0.003728,0,0,0,0,0,28.96131
0,-0.12,-0.129,0.003728,0,0,0,0,0,28.96131
0,-0.12,-0.129,0.003728,0,0,0,0,0,28.96131
0,-0.12,-0.129,0.003728,0,0,0,0,0,28.96131
0,-0.12,-0.129,0.003728,0,0,0,0,0,28.96131
0,-0.12,-0.129,0.003728,0,0,0,0,0,28.96131
0,-0.12,-0.129,0.003728,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.002796,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.002796,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.002796,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.002796,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.002796,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.002796,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.002796,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.002796,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.002796,0,0,0,0,0,28.96131
0,-0.118,-0.128,0.002796,0,0,0,0,0,28.96131
0,-0.11499,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.129,0.000932,0,0,0,0,0,28.96131
0,-0.11499,-0.129,0.000932,0,0,0,0,0,28.96131
