time(s),force_x(N),force_y(N),force_z(N),target_thrust(N),desire_rotor_speed(m/s),rotor_speed(m/s),battery_vol(V),,,,,,
0,-0.00999,0.72999,27.49656,0,0,27.58444,13.34084,,,,,,
0,-0.00999,0.72999,27.49656,0,0,27.58444,13.34084,,,,,,
0,-0.00999,0.72999,27.49656,0,0,27.58444,13.34085,,,,,,
0,-0.00999,0.72999,27.49656,0,0,27.58444,13.34085,,,,,,
0,-0.05999,0.74,27.44194908,0,0,27.58444,13.34085,,,,,,
0,-0.05999,0.74,27.44194908,0,0,27.58444,13.34086,,,,,,
0,-0.05999,0.74,27.44194908,0,0,27.58444,13.34086,,,,,,
0,-0.05999,0.74,27.44194908,0,0,27.58444,13.34086,,,,,,
0,-0.05999,0.74,27.44194908,0,0,27.58444,13.34086,,,,,,
0,-0.05999,0.74,27.44194908,0,0,27.58444,13.34085,,,,,,
0,-0.05999,0.74,27.44194908,0,0,27.58444,13.34085,,,,,,
0,-0.05999,0.74,27.44194908,0,0,27.58444,13.34085,,,,,,
0,-0.05999,0.74,27.44194908,0,0,27.58444,13.34084,,,,,,
0,-0.05999,0.74,27.44194908,0,0,27.58444,13.34084,,,,,,
0,-0.09,0.85,27.37642908,0,0,27.58444,13.34083,,,,,,
0,-0.09,0.85,27.37642908,0,0,27.58444,13.34082,,,,,,
0,-0.09,0.85,27.37642908,0,0,27.58444,13.34081,,,,,,
0,-0.09,0.85,27.37642908,0,0,27.58444,13.3408,,,,,,
0,-0.09,0.85,27.37642908,0,0,27.58444,13.3408,,,,,,
0,-0.09,0.85,27.37642908,0,0,27.58444,13.34079,,,,,,
0,-0.09,0.85,27.37642908,0,0,27.58444,13.34078,,,,,,
0,-0.09,0.85,27.37642908,0,0,27.58444,13.34078,,,,,,
0,-0.09,0.85,27.37642908,0,0,27.58444,13.34077,,,,,,
0,-0.09,0.85,27.37642908,0,0,27.58444,13.34077,,,,,,
0,-0.09,0.85,27.37642908,0,0,27.58444,13.34076,,,,,,
0,-0.09,0.85,27.37642908,0,0,27.58444,13.34076,,,,,,
0,-0.09,0.85,27.37642908,0,0,27.58444,13.34076,,,,,,
0,-0.09,0.85,27.37642908,0,0,27.58444,13.34076,,,,,,
0,-0.09,0.85,27.37642908,0,0,27.58444,13.34076,,,,,,
0,-0.09,0.85,27.37642908,0,0,27.58444,13.34076,,,,,,
0,-0.09,0.85,27.37642908,0,0,27.58444,13.34077,,,,,,
0,-0.09,0.85,27.37642908,0,0,27.58444,13.34077,,,,,,
0,-0.09,0.85,27.37642908,0,0,27.58444,13.34078,,,,,,
0,-0.09,0.85,27.37642908,0,0,27.58444,13.34078,,,,,,
0,-0.15999,0.65999,27.37642908,0,0,27.58444,13.34079,,,,,,
0,-0.15999,0.65999,27.37642908,0,0,27.58444,13.3408,,,,,,
0,-0.15999,0.65999,27.37642908,0,0,27.58444,13.3408,,,,,,
0,-0.15999,0.65999,27.37642908,0,0,27.58444,13.34081,,,,,,
0,-0.15999,0.65999,27.37642908,0,0,27.58444,13.34082,,,,,,
0,-0.15999,0.65999,27.37642908,0,0,27.58444,13.34083,,,,,,
0,-0.15999,0.65999,27.37642908,0,0,27.58444,13.34084,,,,,,
0,-0.15999,0.65999,27.37642908,0,0,27.58444,13.34084,,,,,,
0,-0.15999,0.65999,27.37642908,0,0,27.58444,13.34085,,,,,,
0,-0.15999,0.65999,27.37642908,0,0,27.58444,13.34085,,,,,,
0,-0.07,0.65999,27.42010908,0,0,27.58444,13.34085,,,,,,
0,-0.07,0.65999,27.42010908,0,0,27.58444,13.34086,,,,,,
0,-0.07,0.65999,27.42010908,0,0,27.58444,13.34086,,,,,,
0,-0.07,0.65999,27.42010908,0,0,27.58444,13.34086,,,,,,
0,-0.07,0.65999,27.42010908,0,0,27.58444,13.34086,,,,,,
0,-0.07,0.65999,27.42010908,0,0,27.58444,13.34085,,,,,,
0,-0.07,0.65999,27.42010908,0,0,27.58444,13.34085,,,,,,
0,-0.07,0.65999,27.42010908,0,0,27.58444,13.34085,,,,,,
0,-0.07,0.65999,27.42010908,0,0,27.58444,13.34084,,,,,,
0,-0.07,0.65999,27.42010908,0,0,27.58444,13.34084,,,,,,
