time(s),force_x(N),force_y(N),force_z(N),target_thrust(N),desire_rotor_speed(m/s),rotor_speed(m/s),battery_vol(V)
0,-0.07999,0.75999,26.07883768,0,0,0,13.37384
0,-0.07999,0.75999,26.07883768,0,0,0,13.37388
0,-0.07999,0.75999,26.07883768,0,0,0,13.37393
0,-0.07999,0.75999,26.07883768,0,0,0,13.37397
0,-0.02999,0.81999,26.10978568,0,0,0,13.37402
0,-0.02999,0.81999,26.10978568,0,0,0,13.37407
0,-0.02999,0.81999,26.10978568,0,0,0,13.37411
0,-0.02999,0.81999,26.10978568,0,0,0,13.37416
0,-0.02999,0.81999,26.10978568,0,0,0,13.37421
0,-0.02999,0.81999,26.10978568,0,0,0,13.37426
0,-0.02999,0.81999,26.10978568,0,0,0,13.37431
0,-0.02999,0.81999,26.10978568,0,0,0,13.37435
0,-0.02999,0.81999,26.10978568,0,0,0,13.3744
0,-0.02999,0.81999,26.10978568,0,0,0,13.37445
0,-0.17,0.78999,26.03757368,0,0,0,13.3745
0,-0.17,0.78999,26.03757368,0,0,0,13.37455
0,-0.17,0.78999,26.03757368,0,0,0,13.3746
0,-0.17,0.78999,26.03757368,0,0,0,13.37465
0,-0.17,0.78999,26.03757368,0,0,0,13.3747
0,-0.17,0.78999,26.03757368,0,0,0,13.37475
0,-0.17,0.78999,26.03757368,0,0,0,13.3748
0,-0.17,0.78999,26.03757368,0,0,0,13.37485
0,-0.17,0.78999,26.03757368,0,0,0,13.37489
0,-0.17,0.78999,26.03757368,0,0,0,13.37495
0,-0.17,0.78999,26.03757368,0,0,0,13.375
0,-0.17,0.78999,26.03757368,0,0,0,13.37504
0,-0.17,0.78999,26.03757368,0,0,0,13.37509
0,-0.17,0.78999,26.03757368,0,0,0,13.37514
0,-0.17,0.78999,26.03757368,0,0,0,13.3752
0,-0.17,0.78999,26.03757368,0,0,0,13.37525
0,-0.17,0.78999,26.03757368,0,0,0,13.3753
0,-0.17,0.78999,26.03757368,0,0,0,13.37535
0,-0.17,0.78999,26.03757368,0,0,0,13.37541
0,-0.17,0.78999,26.03757368,0,0,0,13.37546
0,-0.19999,0.70999,26.01694168,0,0,0,13.37551
0,-0.19999,0.70999,26.01694168,0,0,0,13.37556
0,-0.19999,0.70999,26.01694168,0,0,0,13.37562
0,-0.19999,0.70999,26.01694168,0,0,0,13.37567
0,-0.19999,0.70999,26.01694168,0,0,0,13.37572
0,-0.19999,0.70999,26.01694168,0,0,0,13.37577
0,-0.19999,0.70999,26.01694168,0,0,0,13.37583
0,-0.19999,0.70999,26.01694168,0,0,0,13.37588
