time(s),force_x(N),force_y(N),force_z(N),target_thrust(N),desire_rotor_speed(m/s),rotor_speed(m/s),battery_vol(V)
0,0.25,0.91999,22.68999,0,0,0,13.38963
0,0.25,0.91999,22.68999,0,0,0,13.38964
0,0.25,0.91999,22.68999,0,0,0,13.38964
0,0.25,0.91999,22.68999,0,0,0,13.38964
0,0.25,0.91999,22.68999,0,0,0,13.38964
0,0.25,0.88999,22.81999,0,0,0,13.38964
0,0.25,0.88999,22.81999,0,0,0,13.38965
0,0.25,0.88999,22.81999,0,0,0,13.38965
0,0.25,0.88999,22.81999,0,0,0,13.38965
0,0.25,0.88999,22.81999,0,0,0,13.38965
0,0.25,0.88999,22.81999,0,0,0,13.38965
0,0.25,0.88999,22.81999,0,0,0,13.38965
0,0.25,0.88999,22.81999,0,0,0,13.38966
0,0.25,0.88999,22.81999,0,0,0,13.38966
0,0.25,0.88999,22.81999,0,0,0,13.38966
0,0.34,0.88999,22.79999,0,0,0,13.38966
0,0.34,0.88999,22.79999,0,0,0,13.38966
0,0.34,0.88999,22.79999,0,0,0,13.38967
0,0.34,0.88999,22.79999,0,0,0,13.38967
0,0.34,0.88999,22.79999,0,0,0,13.38967
0,0.34,0.88999,22.79999,0,0,0,13.38967
0,0.34,0.88999,22.79999,0,0,0,13.38967
0,0.34,0.88999,22.79999,0,0,0,13.38968
0,0.34,0.88999,22.79999,0,0,0,13.38968
0,0.34,0.88999,22.79999,0,0,0,13.38968
0,0.25,1.03999,22.62999,0,0,0,13.38968
0,0.25,1.03999,22.62999,0,0,0,13.38968
0,0.25,1.03999,22.62999,0,0,0,13.38969
0,0.25,1.03999,22.62999,0,0,0,13.38969
0,0.25,1.03999,22.62999,0,0,0,13.38969
0,0.25,1.03999,22.62999,0,0,0,13.38969
0,0.25,1.03999,22.62999,0,0,0,13.38969
0,0.25,1.03999,22.62999,0,0,0,13.38969
0,0.25,1.03999,22.62999,0,0,0,13.3897
0,0.25,1.03999,22.62999,0,0,0,13.3897
0,0.17,0.97999,22.56999,0,0,0,13.38971
0,0.17,0.97999,22.56999,0,0,0,13.38971
0,0.17,0.97999,22.56999,0,0,0,13.38972
0,0.17,0.97999,22.56999,0,0,0,13.38973
0,0.17,0.97999,22.56999,0,0,0,13.38973
0,0.17,0.97999,22.56999,0,0,0,13.38974
0,0.17,0.97999,22.56999,0,0,0,13.38976
0,0.17,0.97999,22.56999,0,0,0,13.38976
0,0.17,0.97999,22.56999,0,0,0,13.38977
0,0.17,0.97999,22.56999,0,0,0,13.38978
0,0.27999,1.00999,22.57999,0,0,0,13.38979
0,0.27999,1.00999,22.57999,0,0,0,13.38979
0,0.27999,1.00999,22.57999,0,0,0,13.3898
0,0.27999,1.00999,22.57999,0,0,0,13.3898
0,0.27999,1.00999,22.57999,0,0,0,13.3898
0,0.27999,1.00999,22.57999,0,0,0,13.38981
0,0.27999,1.00999,22.57999,0,0,0,13.38981
0,0.27999,1.00999,22.57999,0,0,0,13.38981
0,0.27999,1.00999,22.57999,0,0,0,13.38982
0,0.27999,1.00999,22.57999,0,0,0,13.38982
0,0.15999,1.00999,22.59,0,0,0,13.38982
0,0.15999,1.00999,22.59,0,0,0,13.38982
0,0.15999,1.00999,22.59,0,0,0,13.38983
0,0.15999,1.00999,22.59,0,0,0,13.38983
0,0.15999,1.00999,22.59,0,0,0,13.38983
0,0.15999,1.00999,22.59,0,0,0,13.38984
0,0.15999,1.00999,22.59,0,0,0,13.38984
0,0.15999,1.00999,22.59,0,0,0,13.38984
0,0.15999,1.00999,22.59,0,0,0,13.38984
0,0.15999,1.00999,22.59,0,0,0,13.38985
0,0.17,1,22.61999,0,0,0,13.38985
0,0.17,1,22.61999,0,0,0,13.38985
0,0.17,1,22.61999,0,0,0,13.38986
0,0.17,1,22.61999,0,0,0,13.38986
0,0.17,1,22.61999,0,0,0,13.38986
0,0.17,1,22.61999,0,0,0,13.38986
0,0.17,1,22.61999,0,0,0,13.38987
0,0.17,1,22.61999,0,0,0,13.38987
0,0.17,1,22.61999,0,0,0,13.38987
0,0.17,1,22.61999,0,0,0,13.38988
0,0.09,0.93999,22.63999,0,0,0,13.38988
0,0.09,0.93999,22.63999,0,0,0,13.38988
0,0.09,0.93999,22.63999,0,0,0,13.38988
0,0.09,0.93999,22.63999,0,0,0,13.38989
0,0.09,0.93999,22.63999,0,0,0,13.38989
0,0.09,0.93999,22.63999,0,0,0,13.38989
0,0.09,0.93999,22.63999,0,0,0,13.3899
0,0.09,0.93999,22.63999,0,0,0,13.3899
0,0.09,0.93999,22.63999,0,0,0,13.3899
0,0.09,0.93999,22.63999,0,0,0,13.3899
0,0.20999,0.90999,22.63999,0,0,0,13.38991
0,0.20999,0.90999,22.63999,0,0,0,13.38991
0,0.20999,0.90999,22.63999,0,0,0,13.38991
0,0.20999,0.90999,22.63999,0,0,0,13.38992
0,0.20999,0.90999,22.63999,0,0,0,13.38992
0,0.20999,0.90999,22.63999,0,0,0,13.38993
0,0.20999,0.90999,22.63999,0,0,0,13.38994
0,0.20999,0.90999,22.63999,0,0,0,13.38995
0,0.20999,0.90999,22.63999,0,0,0,13.38996
0,0.20999,0.90999,22.63999,0,0,0,13.38997
0,0.05999,0.9,22.60999,0,0,0,13.38998
0,0.05999,0.9,22.60999,0,0,0,13.38999
0,0.05999,0.9,22.60999,0,0,0,13.38999
0,0.05999,0.9,22.60999,0,0,0,13.39
0,0.05999,0.9,22.60999,0,0,0,13.39001
0,0.05999,0.9,22.60999,0,0,0,13.39001
0,0.05999,0.9,22.60999,0,0,0,13.39001
0,0.05999,0.9,22.60999,0,0,0,13.39002
0,0.05999,0.9,22.60999,0,0,0,13.39002
0,0.05999,0.9,22.60999,0,0,0,13.39002
0,0.17999,0.9,22.62999,0,0,0,13.39002
0,0.17999,0.9,22.62999,0,0,0,13.39002
0,0.17999,0.9,22.62999,0,0,0,13.39003
0,0.17999,0.9,22.62999,0,0,0,13.39003
0,0.17999,0.9,22.62999,0,0,0,13.39003
0,0.17999,0.9,22.62999,0,0,0,13.39003
0,0.17999,0.9,22.62999,0,0,0,13.39003
0,0.17999,0.9,22.62999,0,0,0,13.39004
0,0.17999,0.9,22.62999,0,0,0,13.39004
0,0.17999,0.9,22.62999,0,0,0,13.39004
0,0.25,0.93999,22.71999,0,0,0,13.39004
0,0.25,0.93999,22.71999,0,0,0,13.39004
0,0.25,0.93999,22.71999,0,0,0,13.39005
0,0.25,0.93999,22.71999,0,0,0,13.39005
0,0.25,0.93999,22.71999,0,0,0,13.39005
0,0.25,0.93999,22.71999,0,0,0,13.39005
0,0.25,0.93999,22.71999,0,0,0,13.39005
0,0.25,0.93999,22.71999,0,0,0,13.39006
0,0.25,0.93999,22.71999,0,0,0,13.39006
0,0.25,0.93999,22.71999,0,0,0,13.39006
0,0.19999,1.00999,22.69999,0,0,0,13.39006
0,0.19999,1.00999,22.69999,0,0,0,13.39006
0,0.19999,1.00999,22.69999,0,0,0,13.39006
0,0.19999,1.00999,22.69999,0,0,0,13.39007
0,0.19999,1.00999,22.69999,0,0,0,13.39007
0,0.19999,1.00999,22.69999,0,0,0,13.39007
0,0.19999,1.00999,22.69999,0,0,0,13.39007
0,0.19999,1.00999,22.69999,0,0,0,13.39007
0,0.19999,1.00999,22.69999,0,0,0,13.39008
0,0.19999,1.00999,22.69999,0,0,0,13.39008
0,0.09,0.88999,22.63999,0,0,0,13.39008
0,0.09,0.88999,22.63999,0,0,0,13.39008
0,0.09,0.88999,22.63999,0,0,0,13.39008
0,0.09,0.88999,22.63999,0,0,0,13.39009
0,0.09,0.88999,22.63999,0,0,0,13.39009
0,0.09,0.88999,22.63999,0,0,0,13.39009
0,0.09,0.88999,22.63999,0,0,0,13.39009
0,0.09,0.88999,22.63999,0,0,0,13.39009
0,0.09,0.88999,22.63999,0,0,0,13.3901
0,0.09,0.88999,22.63999,0,0,0,13.3901
0,0.09,0.88999,22.63999,0,0,0,13.3901
0,0.09,0.88999,22.63999,0,0,0,13.3901
0,0.09,0.88999,22.63999,0,0,0,13.3901
0,0.09,0.88999,22.63999,0,0,0,13.39011
0,0.09,0.88999,22.63999,0,0,0,13.39011
0,0.09,0.88999,22.63999,0,0,0,13.39011
0,0.09,0.88999,22.63999,0,0,0,13.39011
