time(s),force_x(N),force_y(N),force_z(N),target_thrust(N),desire_rotor_speed(m/s),rotor_speed(m/s),battery_vol(V)
0,-0.07,0.61,28.1944893,0,0,28.70935,13.34086
0,-0.07,0.61,28.1944893,0,0,28.70935,13.34085
0,-0.07,0.61,28.1944893,0,0,28.70935,13.34085
0,-0.07,0.61,28.1944893,0,0,28.70935,13.34085
0,-0.07,0.61,28.1944893,0,0,28.70935,13.34084
0,-0.07,0.61,28.1944893,0,0,28.70935,13.34084
0,-0.07,0.61,28.1944893,0,0,28.70935,13.34083
0,-0.07,0.61,28.1944893,0,0,28.70935,13.34082
0,-0.02999,0.65999,28.2158893,0,0,28.70935,13.34081
0,-0.02999,0.65999,28.2158893,0,0,28.70935,13.3408
0,-0.02999,0.65999,28.2158893,0,0,28.70935,13.3408
0,-0.02999,0.65999,28.2158893,0,0,28.70935,13.34079
0,-0.02999,0.65999,28.2158893,0,0,28.70935,13.34078
0,-0.02999,0.65999,28.2158893,0,0,28.70935,13.34078
0,-0.02999,0.65999,28.2158893,0,0,28.70935,13.34077
0,-0.02999,0.65999,28.2158893,0,0,28.70935,13.34077
0,-0.02999,0.65999,28.2158893,0,0,28.70935,13.34076
0,-0.02999,0.65999,28.2158893,0,0,28.70935,13.34076
0,-0.09999,0.61999,28.2051893,0,0,28.70935,13.34076
0,-0.09999,0.61999,28.2051893,0,0,28.70935,13.34076
0,-0.09999,0.61999,28.2051893,0,0,28.70935,13.34076
0,-0.09999,0.61999,28.2051893,0,0,28.70935,13.34076
0,-0.09999,0.61999,28.2051893,0,0,28.70935,13.34077
0,-0.09999,0.61999,28.2051893,0,0,28.70935,13.34077
0,-0.09999,0.61999,28.2051893,0,0,28.70935,13.34078
0,-0.09999,0.61999,28.2051893,0,0,28.70935,13.34078
0,-0.09999,0.61999,28.2051893,0,0,28.70935,13.34079
0,-0.09999,0.61999,28.2051893,0,0,28.70935,13.3408
0,-0.05999,0.65,28.1838,0,0,28.70935,13.3408
0,-0.05999,0.65,28.1838,0,0,28.70935,13.34081
0,-0.05999,0.65,28.1838,0,0,28.70935,13.34082
0,-0.05999,0.65,28.1838,0,0,28.70935,13.34083
0,-0.05999,0.65,28.1838,0,0,28.70935,13.34084
0,-0.05999,0.65,28.1838,0,0,28.70935,13.34084
0,-0.05999,0.65,28.1838,0,0,28.70935,13.34085
0,-0.05999,0.65,28.1838,0,0,28.70935,13.34085
0,-0.05999,0.65,28.1838,0,0,28.70935,13.34085
0,-0.05999,0.65,28.1838,0,0,28.70935,13.34086
