time(s),force_x(N),force_y(N),force_z(N),target_thrust(N),desire_rotor_speed(m/s),rotor_speed(m/s),battery_vol(V),,,,,,,
0,0.11,0.88999,20.14637698,0,0,26.49344,13.34077,,,,,,,
0,0.11,0.88999,20.14637698,0,0,26.49344,13.34077,,,,,,,
0,0.11,0.88999,20.14637698,0,0,26.49344,13.34076,,,,,,,
0,0.11,0.88999,20.14637698,0,0,26.49344,13.34076,,,,,,,
0,0.11,0.88999,20.14637698,0,0,26.49344,13.34076,,,,,,,
0,0.11,0.88999,20.14637698,0,0,26.49344,13.34076,,,,,,,
0,0.11,0.88999,20.14637698,0,0,26.49344,13.34076,,,,,,,
0,0.11999,0.90999,20.10229298,0,0,26.49344,13.34076,,,,,,,
0,0.11999,0.90999,20.10229298,0,0,26.49344,13.34077,,,,,,,
0,0.11999,0.90999,20.10229298,0,0,26.49344,13.34077,,,,,,,
0,0.11999,0.90999,20.10229298,0,0,26.49344,13.34078,,,,,,,
0,0.11999,0.90999,20.10229298,0,0,26.49344,13.34078,,,,,,,
0,0.11999,0.90999,20.10229298,0,0,26.49344,13.34079,,,,,,,
0,0.11999,0.90999,20.10229298,0,0,26.49344,13.3408,,,,,,,
0,0.11999,0.90999,20.10229298,0,0,26.49344,13.3408,,,,,,,
0,0.11999,0.90999,20.10229298,0,0,26.49344,13.34081,,,,,,,
0,0.11999,0.90999,20.10229298,0,0,26.49344,13.34082,,,,,,,
0,0.13999,0.88,20.09127198,0,0,26.49344,13.34083,,,,,,,
0,0.13999,0.88,20.09127198,0,0,26.49344,13.34084,,,,,,,
0,0.13999,0.88,20.09127198,0,0,26.49344,13.34084,,,,,,,
0,0.13999,0.88,20.09127198,0,0,26.49344,13.34085,,,,,,,
0,0.13999,0.88,20.09127198,0,0,26.49344,13.34085,,,,,,,
0,0.13999,0.88,20.09127198,0,0,26.49344,13.34085,,,,,,,
0,0.13999,0.88,20.09127198,0,0,26.49344,13.34086,,,,,,,
