time(s),force_x(N),force_y(N),force_z(N),target_thrust(N),desire_rotor_speed(m/s),rotor_speed(m/s),battery_vol(V)
0.00000,0.04999,1.10000,17.32999,0.00000,0.00000,0.00000,13.35731
0.00000,0.04999,1.10000,17.32999,0.00000,0.00000,0.00000,13.35725
0.00000,0.04999,1.10000,17.32999,0.00000,0.00000,0.00000,13.35720
0.00000,0.04999,1.10000,17.32999,0.00000,0.00000,0.00000,13.35715
0.00000,0.04999,1.10000,17.32999,0.00000,0.00000,0.00000,13.35709
0.00000,0.04999,1.15999,17.36999,0.00000,0.00000,0.00000,13.35704
0.00000,0.04999,1.15999,17.36999,0.00000,0.00000,0.00000,13.35700
0.00000,0.04999,1.15999,17.36999,0.00000,0.00000,0.00000,13.35695
0.00000,0.04999,1.15999,17.36999,0.00000,0.00000,0.00000,13.35690
0.00000,0.04999,1.15999,17.36999,0.00000,0.00000,0.00000,13.35686
0.00000,0.04999,1.15999,17.36999,0.00000,0.00000,0.00000,13.35682
0.00000,0.04999,1.15999,17.36999,0.00000,0.00000,0.00000,13.35678
0.00000,0.04999,1.15999,17.36999,0.00000,0.00000,0.00000,13.35674
0.00000,0.04999,1.15999,17.36999,0.00000,0.00000,0.00000,13.35670
0.00000,0.04999,1.15999,17.36999,0.00000,0.00000,0.00000,13.35667
0.00000,0.09999,1.04999,17.50000,0.00000,0.00000,0.00000,13.35663
0.00000,0.09999,1.04999,17.50000,0.00000,0.00000,0.00000,13.35660
0.00000,0.09999,1.04999,17.50000,0.00000,0.00000,0.00000,13.35657
0.00000,0.09999,1.04999,17.50000,0.00000,0.00000,0.00000,13.35654
0.00000,0.09999,1.04999,17.50000,0.00000,0.00000,0.00000,13.35651
0.00000,0.09999,1.04999,17.50000,0.00000,0.00000,0.00000,13.35649
0.00000,0.09999,1.04999,17.50000,0.00000,0.00000,0.00000,13.35646
0.00000,0.09999,1.04999,17.50000,0.00000,0.00000,0.00000,13.35644
0.00000,0.09999,1.04999,17.50000,0.00000,0.00000,0.00000,13.35642
0.00000,0.09999,1.04999,17.50000,0.00000,0.00000,0.00000,13.35640
0.00000,0.11000,1.18999,17.48999,0.00000,0.00000,0.00000,13.35638
0.00000,0.11000,1.18999,17.48999,0.00000,0.00000,0.00000,13.35636
0.00000,0.11000,1.18999,17.48999,0.00000,0.00000,0.00000,13.35635
0.00000,0.11000,1.18999,17.48999,0.00000,0.00000,0.00000,13.35633
0.00000,0.11000,1.18999,17.48999,0.00000,0.00000,0.00000,13.35632
0.00000,0.11000,1.18999,17.48999,0.00000,0.00000,0.00000,13.35631
0.00000,0.11000,1.18999,17.48999,0.00000,0.00000,0.00000,13.35629
0.00000,0.11000,1.18999,17.48999,0.00000,0.00000,0.00000,13.35628
0.00000,0.11000,1.18999,17.48999,0.00000,0.00000,0.00000,13.35627
0.00000,0.11000,1.18999,17.48999,0.00000,0.00000,0.00000,13.35627
0.00000,0.09999,1.16999,17.37999,0.00000,0.00000,0.00000,13.35626
0.00000,0.09999,1.16999,17.37999,0.00000,0.00000,0.00000,13.35625
0.00000,0.09999,1.16999,17.37999,0.00000,0.00000,0.00000,13.35625
0.00000,0.09999,1.16999,17.37999,0.00000,0.00000,0.00000,13.35625
0.00000,0.09999,1.16999,17.37999,0.00000,0.00000,0.00000,13.35625
0.00000,0.09999,1.16999,17.37999,0.00000,0.00000,0.00000,13.35625
0.00000,0.09999,1.16999,17.37999,0.00000,0.00000,0.00000,13.35625
0.00000,0.09999,1.16999,17.37999,0.00000,0.00000,0.00000,13.35626
0.00000,0.09999,1.16999,17.37999,0.00000,0.00000,0.00000,13.35627
0.00000,0.09999,1.16999,17.37999,0.00000,0.00000,0.00000,13.35627
0.00000,0.07999,1.11000,17.38999,0.00000,0.00000,0.00000,13.35628
0.00000,0.07999,1.11000,17.38999,0.00000,0.00000,0.00000,13.35629
0.00000,0.07999,1.11000,17.38999,0.00000,0.00000,0.00000,13.35630
0.00000,0.07999,1.11000,17.38999,0.00000,0.00000,0.00000,13.35631
0.00000,0.07999,1.11000,17.38999,0.00000,0.00000,0.00000,13.35632
0.00000,0.07999,1.11000,17.38999,0.00000,0.00000,0.00000,13.35633
0.00000,0.07999,1.11000,17.38999,0.00000,0.00000,0.00000,13.35635
0.00000,0.07999,1.11000,17.38999,0.00000,0.00000,0.00000,13.35636
0.00000,0.07999,1.11000,17.38999,0.00000,0.00000,0.00000,13.35638
0.00000,0.07999,1.11000,17.38999,0.00000,0.00000,0.00000,13.35639
0.00000,0.07000,1.10000,17.40999,0.00000,0.00000,0.00000,13.35641
0.00000,0.07000,1.10000,17.40999,0.00000,0.00000,0.00000,13.35643
0.00000,0.07000,1.10000,17.40999,0.00000,0.00000,0.00000,13.35645
0.00000,0.07000,1.10000,17.40999,0.00000,0.00000,0.00000,13.35647
0.00000,0.07000,1.10000,17.40999,0.00000,0.00000,0.00000,13.35650
0.00000,0.07000,1.10000,17.40999,0.00000,0.00000,0.00000,13.35652
0.00000,0.07000,1.10000,17.40999,0.00000,0.00000,0.00000,13.35655
0.00000,0.07000,1.10000,17.40999,0.00000,0.00000,0.00000,13.35657
0.00000,0.07000,1.10000,17.40999,0.00000,0.00000,0.00000,13.35660
0.00000,0.07000,1.10000,17.40999,0.00000,0.00000,0.00000,13.35663
0.00000,0.00000,1.15999,17.43000,0.00000,0.00000,0.00000,13.35666
0.00000,0.00000,1.15999,17.43000,0.00000,0.00000,0.00000,13.35669
0.00000,0.00000,1.15999,17.43000,0.00000,0.00000,0.00000,13.35673
0.00000,0.00000,1.15999,17.43000,0.00000,0.00000,0.00000,13.35676
0.00000,0.00000,1.15999,17.43000,0.00000,0.00000,0.00000,13.35679
0.00000,0.00000,1.15999,17.43000,0.00000,0.00000,0.00000,13.35683
0.00000,0.00000,1.15999,17.43000,0.00000,0.00000,0.00000,13.35686
0.00000,0.00000,1.15999,17.43000,0.00000,0.00000,0.00000,13.35690
0.00000,0.00000,1.15999,17.43000,0.00000,0.00000,0.00000,13.35694
0.00000,0.00000,1.15999,17.43000,0.00000,0.00000,0.00000,13.35698
0.00000,-0.07000,1.11000,17.38999,0.00000,0.00000,0.00000,13.35702
0.00000,-0.07000,1.11000,17.38999,0.00000,0.00000,0.00000,13.35706
0.00000,-0.07000,1.11000,17.38999,0.00000,0.00000,0.00000,13.35710
0.00000,-0.07000,1.11000,17.38999,0.00000,0.00000,0.00000,13.35714
0.00000,-0.07000,1.11000,17.38999,0.00000,0.00000,0.00000,13.35719
0.00000,-0.07000,1.11000,17.38999,0.00000,0.00000,0.00000,13.35723
0.00000,-0.07000,1.11000,17.38999,0.00000,0.00000,0.00000,13.35728
0.00000,-0.07000,1.11000,17.38999,0.00000,0.00000,0.00000,13.35733
0.00000,-0.07000,1.11000,17.38999,0.00000,0.00000,0.00000,13.35737
0.00000,-0.07000,1.11000,17.38999,0.00000,0.00000,0.00000,13.35742
0.00000,-0.07000,1.06999,17.35999,0.00000,0.00000,0.00000,13.35747
0.00000,-0.07000,1.06999,17.35999,0.00000,0.00000,0.00000,13.35752
0.00000,-0.07000,1.06999,17.35999,0.00000,0.00000,0.00000,13.35758
0.00000,-0.07000,1.06999,17.35999,0.00000,0.00000,0.00000,13.35763
0.00000,-0.07000,1.06999,17.35999,0.00000,0.00000,0.00000,13.35768
0.00000,-0.07000,1.06999,17.35999,0.00000,0.00000,0.00000,13.35774
0.00000,-0.07000,1.06999,17.35999,0.00000,0.00000,0.00000,13.35779
0.00000,-0.07000,1.06999,17.35999,0.00000,0.00000,0.00000,13.35785
0.00000,-0.07000,1.06999,17.35999,0.00000,0.00000,0.00000,13.35791
0.00000,-0.07000,1.06999,17.35999,0.00000,0.00000,0.00000,13.35796
0.00000,0.03999,1.06999,17.35999,0.00000,0.00000,0.00000,13.35802
0.00000,0.03999,1.06999,17.35999,0.00000,0.00000,0.00000,13.35808
0.00000,0.03999,1.06999,17.35999,0.00000,0.00000,0.00000,13.35814
0.00000,0.03999,1.06999,17.35999,0.00000,0.00000,0.00000,13.35821
0.00000,0.03999,1.06999,17.35999,0.00000,0.00000,0.00000,13.35827
0.00000,0.03999,1.06999,17.35999,0.00000,0.00000,0.00000,13.35833
0.00000,0.03999,1.06999,17.35999,0.00000,0.00000,0.00000,13.35839
0.00000,0.03999,1.06999,17.35999,0.00000,0.00000,0.00000,13.35846
0.00000,0.03999,1.06999,17.35999,0.00000,0.00000,0.00000,13.35852
0.00000,0.03999,1.06999,17.35999,0.00000,0.00000,0.00000,13.35859
0.00000,0.14999,1.11000,17.40999,0.00000,0.00000,0.00000,13.35866
0.00000,0.14999,1.11000,17.40999,0.00000,0.00000,0.00000,13.35872
0.00000,0.14999,1.11000,17.40999,0.00000,0.00000,0.00000,13.35879
0.00000,0.14999,1.11000,17.40999,0.00000,0.00000,0.00000,13.35886
0.00000,0.14999,1.11000,17.40999,0.00000,0.00000,0.00000,13.35893
0.00000,0.14999,1.11000,17.40999,0.00000,0.00000,0.00000,13.35900
0.00000,0.14999,1.11000,17.40999,0.00000,0.00000,0.00000,13.35907
0.00000,0.14999,1.11000,17.40999,0.00000,0.00000,0.00000,13.35914
0.00000,0.14999,1.11000,17.40999,0.00000,0.00000,0.00000,13.35921
0.00000,0.14999,1.11000,17.40999,0.00000,0.00000,0.00000,13.35928
0.00000,0.11000,1.06999,17.54999,0.00000,0.00000,0.00000,13.35935
0.00000,0.11000,1.06999,17.54999,0.00000,0.00000,0.00000,13.35942
0.00000,0.11000,1.06999,17.54999,0.00000,0.00000,0.00000,13.35949
0.00000,0.11000,1.06999,17.54999,0.00000,0.00000,0.00000,13.35956
0.00000,0.11000,1.06999,17.54999,0.00000,0.00000,0.00000,13.35963
0.00000,0.11000,1.06999,17.54999,0.00000,0.00000,0.00000,13.35970
0.00000,0.11000,1.06999,17.54999,0.00000,0.00000,0.00000,13.35978
0.00000,0.11000,1.06999,17.54999,0.00000,0.00000,0.00000,13.35985
0.00000,0.11000,1.06999,17.54999,0.00000,0.00000,0.00000,13.35992
0.00000,0.11000,1.06999,17.54999,0.00000,0.00000,0.00000,13.36000
0.00000,0.12999,1.09000,17.52999,0.00000,0.00000,0.00000,13.36007
0.00000,0.12999,1.09000,17.52999,0.00000,0.00000,0.00000,13.36014
0.00000,0.12999,1.09000,17.52999,0.00000,0.00000,0.00000,13.36022
0.00000,0.12999,1.09000,17.52999,0.00000,0.00000,0.00000,13.36029
0.00000,0.12999,1.09000,17.52999,0.00000,0.00000,0.00000,13.36037
0.00000,0.12999,1.09000,17.52999,0.00000,0.00000,0.00000,13.36044
0.00000,0.12999,1.09000,17.52999,0.00000,0.00000,0.00000,13.36052
0.00000,0.12999,1.09000,17.52999,0.00000,0.00000,0.00000,13.36059
0.00000,0.12999,1.09000,17.52999,0.00000,0.00000,0.00000,13.36067
0.00000,0.12999,1.09000,17.52999,0.00000,0.00000,0.00000,13.36075
0.00000,0.12999,1.09000,17.52999,0.00000,0.00000,0.00000,13.36083
0.00000,0.12999,1.09000,17.52999,0.00000,0.00000,0.00000,13.36090
0.00000,0.12999,1.09000,17.52999,0.00000,0.00000,0.00000,13.36098
0.00000,0.12999,1.09000,17.52999,0.00000,0.00000,0.00000,13.36106
0.00000,0.12999,1.09000,17.52999,0.00000,0.00000,0.00000,13.36114
0.00000,0.12999,1.09000,17.52999,0.00000,0.00000,0.00000,13.36122
0.00000,0.12999,1.09000,17.52999,0.00000,0.00000,0.00000,13.36130
0.00000,0.12999,1.09000,17.52999,0.00000,0.00000,0.00000,13.36138
0.00000,0.12999,1.09000,17.52999,0.00000,0.00000,0.00000,13.36146
0.00000,0.12999,1.09000,17.52999,0.00000,0.00000,0.00000,13.36154
0.00000,0.05999,1.19999,17.38999,0.00000,0.00000,0.00000,13.36162
0.00000,0.05999,1.19999,17.38999,0.00000,0.00000,0.00000,13.36170
0.00000,0.05999,1.19999,17.38999,0.00000,0.00000,0.00000,13.36178
0.00000,0.05999,1.19999,17.38999,0.00000,0.00000,0.00000,13.36187
0.00000,0.05999,1.19999,17.38999,0.00000,0.00000,0.00000,13.36195
0.00000,0.05999,1.19999,17.38999,0.00000,0.00000,0.00000,13.36203
0.00000,0.05999,1.19999,17.38999,0.00000,0.00000,0.00000,13.36212
0.00000,0.05999,1.19999,17.38999,0.00000,0.00000,0.00000,13.36220
0.00000,0.05999,1.19999,17.38999,0.00000,0.00000,0.00000,13.36228
0.00000,0.05999,1.19999,17.38999,0.00000,0.00000,0.00000,13.36237
0.00000,0.02999,1.18999,17.38999,0.00000,0.00000,0.00000,13.36245
0.00000,0.02999,1.18999,17.38999,0.00000,0.00000,0.00000,13.36254
0.00000,0.02999,1.18999,17.38999,0.00000,0.00000,0.00000,13.36262
0.00000,0.02999,1.18999,17.38999,0.00000,0.00000,0.00000,13.36271
0.00000,0.02999,1.18999,17.38999,0.00000,0.00000,0.00000,13.36279
0.00000,0.02999,1.18999,17.38999,0.00000,0.00000,0.00000,13.36288
0.00000,0.02999,1.18999,17.38999,0.00000,0.00000,0.00000,13.36296
0.00000,0.02999,1.18999,17.38999,0.00000,0.00000,0.00000,13.36305
0.00000,0.02999,1.18999,17.38999,0.00000,0.00000,0.00000,13.36314
0.00000,0.02999,1.18999,17.38999,0.00000,0.00000,0.00000,13.36322
0.00000,0.00000,1.15999,17.37999,0.00000,0.00000,0.00000,13.36331
