time(s),force_x(N),force_y(N),force_z(N),target_thrust(N),desire_rotor_speed(m/s),rotor_speed(m/s),battery_vol(V)
3.00057,-0.05626,0.65959,26.47403,0.00000,0.00000,27.08067,13.34112
8.00008,0.11142,0.57295,23.25825,3.50000,667.87890,665.15948,13.13747
16.00008,0.22760,0.57613,23.12661,3.59999,677.35284,670.78759,13.13726
24.00014,0.23094,0.59793,22.99087,3.70000,686.69604,675.59899,13.12134
32.00007,0.26844,0.58629,22.94524,3.79999,695.91387,685.18267,13.11312
40.00014,0.28701,0.56335,22.86613,3.90000,705.01116,695.15002,13.11707
48.00006,0.27878,0.65675,22.73028,4.00000,713.99255,704.24877,13.07833
56.00013,0.31314,0.55841,22.62579,4.09999,722.86236,716.36773,13.06492
64.00012,0.26658,0.58755,22.48474,4.19999,731.62463,722.09826,13.05160
72.00005,0.26581,0.56847,22.37059,4.30000,740.28326,736.18536,13.04658
80.00012,0.27169,0.60340,22.25288,4.40000,748.84173,742.10058,13.03779
88.00004,0.29223,0.53479,22.16350,4.50000,757.30346,750.61474,13.03826
96.00011,0.31084,0.52307,22.08118,4.59999,765.67175,760.93035,13.01744
104.00006,0.34324,0.61756,21.96033,4.69999,773.94946,768.39581,12.98013
112.00011,0.35980,0.56548,21.83163,4.80000,782.13970,774.40106,12.98975
120.00010,0.36042,0.60786,21.76310,4.90000,790.24499,784.30273,12.97385
128.00003,0.41574,0.55290,21.64745,5.00000,798.26794,793.74719,12.95933
