time(s),target rotor speed(rad/s),rotor speed(rad/s),motor output,equivalent output,battery voltage(V)
0.00021,0.00000,0.00000,0.00000,0.00000,15.12187
0.00124,790.00000,0.00000,0.48329,0.46109,15.12191
0.00219,790.00000,0.00000,0.48329,0.46109,15.12195
0.00319,790.00000,0.00000,0.48329,0.46109,15.12199
0.00419,790.00000,0.00000,0.48329,0.46109,15.12202
0.00519,790.00000,0.00000,0.48329,0.46109,15.12206
0.00619,790.00000,0.00000,0.48329,0.46109,15.12210
0.00719,790.00000,0.00000,0.48329,0.46109,15.12213
0.00819,790.00000,0.00000,0.48329,0.46109,15.12217
0.00919,790.00000,0.00000,0.48328,0.46109,15.12221
0.01019,790.00000,0.00000,0.48328,0.46109,15.12224
0.01119,790.00000,0.00000,0.48328,0.46109,15.12228
0.01219,790.00000,0.00000,0.48328,0.46109,15.12231
0.01319,790.00000,0.00000,0.48328,0.46109,15.12235
0.01419,790.00000,0.00000,0.48328,0.46109,15.12239
0.01528,790.00000,0.00000,0.48328,0.46109,15.12243
0.01620,790.00000,0.00000,0.48328,0.46109,15.12246
0.01727,790.00000,0.00000,0.48328,0.46109,15.12250
0.01823,790.00000,0.00000,0.48327,0.46109,15.12254
0.01923,790.00000,0.00000,0.48327,0.46109,15.12257
0.02023,790.00000,0.00000,0.48327,0.46109,15.12261
0.02120,790.00000,0.00000,0.48327,0.46109,15.12265
0.02227,790.00000,0.00000,0.48327,0.46109,15.12269
0.02320,790.00000,0.00000,0.48327,0.46109,15.12273
0.02422,790.00000,0.00000,0.48327,0.46109,15.12277
0.02519,790.00000,0.00000,0.48327,0.46109,15.12280
0.02619,790.00000,0.00000,0.48326,0.46109,15.12284
0.02719,790.00000,0.00000,0.48326,0.46109,15.12288
0.02819,790.00000,0.00000,0.48326,0.46109,15.12292
0.02919,790.00000,0.00000,0.48326,0.46109,15.12296
0.03019,790.00000,0.00000,0.48326,0.46109,15.12299
0.03119,790.00000,0.00000,0.48326,0.46109,15.12303
0.03219,790.00000,0.00000,0.48326,0.46109,15.12307
0.03319,790.00000,0.00000,0.48326,0.46109,15.12311
0.03419,790.00000,0.00000,0.48325,0.46109,15.12314
0.03520,790.00000,0.00000,0.48325,0.46109,15.12318
0.03619,790.00000,0.00000,0.48325,0.46109,15.12322
0.03719,790.00000,0.00000,0.48325,0.46109,15.12326
0.03819,790.00000,0.00000,0.48325,0.46109,15.12329
0.03919,790.00000,0.00000,0.48325,0.46109,15.12333
0.04019,790.00000,0.00000,0.48325,0.46109,15.12336
0.04119,790.00000,0.00000,0.48325,0.46109,15.12339
0.04219,790.00000,0.00000,0.48325,0.46109,15.12342
0.04319,790.00000,0.00000,0.48325,0.46109,15.12345
0.04419,790.00000,0.00000,0.48324,0.46109,15.12347
0.04519,790.00000,0.00000,0.48324,0.46109,15.12350
0.04619,790.00000,0.00000,0.48324,0.46109,15.12352
