time(s),target rotor speed(rad/s),rotor speed(rad/s),motor output,equivalent output,battery voltage(V)
0.00034,0,0,0,0,12.85936
0.00136,740,0,0.52256,0.5185,12.85937
0.0024,740,0,0.52256,0.5185,12.85937
0.00335,740,0,0.52256,0.5185,12.85938
0.00432,740,0,0.52256,0.5185,12.85938
0.00532,740,0,0.52256,0.5185,12.85939
0.00632,740,0,0.52256,0.5185,12.85939
0.00732,740,0,0.52256,0.5185,12.85939
0.00832,740,0,0.52256,0.5185,12.85939
0.00932,740,0,0.52256,0.5185,12.85939
0.01032,740,0,0.52256,0.5185,12.85939
0.01132,740,0,0.52256,0.5185,12.85939
0.01232,740,0,0.52256,0.5185,12.85939
0.01332,740,0,0.52256,0.5185,12.85938
0.01432,740,0,0.52256,0.5185,12.85938
0.01532,740,0,0.52256,0.5185,12.85937
0.01632,740,0,0.52256,0.5185,12.85937
0.01732,740,0,0.52256,0.5185,12.85936
0.01832,740,0,0.52256,0.5185,12.85935
0.01932,740,0,0.52256,0.5185,12.85934
0.02032,740,0,0.52256,0.5185,12.85933
0.02132,740,0,0.52256,0.5185,12.85933
0.02232,740,0,0.52256,0.5185,12.85932
0.02332,740,0,0.52256,0.5185,12.85931
0.02432,740,0,0.52256,0.5185,12.85931
0.02532,740,0,0.52256,0.5185,12.8593
0.02632,740,0,0.52256,0.5185,12.8593
0.02732,740,0,0.52256,0.5185,12.8593
0.02832,740,0,0.52256,0.5185,12.8593
0.02932,740,0,0.52256,0.5185,12.8593
0.03032,740,0,0.52256,0.5185,12.8593
0.03132,740,0,0.52256,0.5185,12.8593
0.03232,740,0,0.52256,0.5185,12.8593
0.03332,740,0,0.52256,0.5185,12.85931
0.03432,740,0,0.52256,0.5185,12.85931
0.03532,740,0,0.52256,0.5185,12.85932
0.03632,740,0,0.52256,0.5185,12.85933
0.03732,740,0,0.52256,0.5185,12.85933
0.03832,740,0,0.52256,0.5185,12.85934
0.03932,740,0,0.52256,0.5185,12.85935
0.04032,740,0,0.52256,0.5185,12.85936
0.04132,740,0,0.52256,0.5185,12.85937
0.04232,740,0,0.52256,0.5185,12.85937
0.04332,740,0,0.52256,0.5185,12.85938
0.04432,740,0,0.52256,0.5185,12.85938
0.04532,740,0,0.52256,0.5185,12.85939
0.04632,740,0,0.52256,0.5185,12.85939
0.04732,740,0,0.52256,0.5185,12.85939
0.04832,740,0,0.52256,0.5185,12.85939
0.04932,740,0,0.52256,0.5185,12.85939
0.05032,740,0,0.52256,0.5185,12.85939
0.05132,740,0,0.52256,0.5185,12.85939
0.05232,740,0,0.52256,0.5185,12.85939
0.05332,740,0,0.52256,0.5185,12.85938
0.05432,740,0,0.52256,0.5185,12.85938
0.05532,740,0,0.52256,0.5185,12.85937
0.05632,740,0,0.52256,0.5185,12.85937
0.05732,740,0,0.52256,0.5185,12.85936
0.05832,740,0,0.52256,0.5185,12.85935
0.05932,740,0,0.52256,0.5185,12.85934
0.06032,740,0,0.52256,0.5185,12.85933
0.06132,740,0,0.52256,0.5185,12.85933
0.06232,740,0,0.52256,0.5185,12.85932
0.06332,740,0,0.52256,0.5185,12.85931
0.06432,740,0,0.52256,0.5185,12.85931
0.06532,740,0,0.52256,0.5185,12.8593
0.06632,740,0,0.52256,0.5185,12.8593
0.06732,740,0,0.52256,0.5185,12.8593
0.06832,740,0,0.52256,0.5185,12.8593
0.06933,740,0,0.52256,0.5185,12.8593
0.07032,740,0,0.52256,0.5185,12.8593
0.07133,740,0,0.52256,0.5185,12.8593
0.07232,740,0,0.52256,0.5185,12.8593
0.07332,740,0,0.52256,0.5185,12.85931
0.07432,740,0,0.52256,0.5185,12.85931
0.07532,740,0,0.52256,0.5185,12.85932
0.07632,740,0,0.52256,0.5185,12.85933
0.07732,740,0,0.52256,0.5185,12.85933
0.07832,740,0,0.52256,0.5185,12.85934
0.07932,740,0,0.52256,0.5185,12.85935
0.08032,740,0,0.52256,0.5185,12.85936
0.08132,740,0,0.52256,0.5185,12.85937
0.08232,740,0,0.52256,0.5185,12.85937
0.08332,740,0,0.52256,0.5185,12.85938
0.08432,740,0,0.52256,0.5185,12.85938
0.08532,740,0,0.52256,0.5185,12.85939
0.08632,740,0,0.52256,0.5185,12.85939
0.08732,740,0,0.52256,0.5185,12.85939
0.08832,740,0,0.52256,0.5185,12.85939
0.08932,740,0,0.52256,0.5185,12.85939
0.09032,740,0,0.52256,0.5185,12.85939
0.09132,740,0,0.52256,0.5185,12.85939
0.09232,740,0,0.52256,0.5185,12.85939
0.09332,740,0,0.52256,0.5185,12.85938
0.09432,740,0,0.52256,0.5185,12.85938
0.09532,740,0,0.52256,0.5185,12.85937
0.09632,740,0,0.52256,0.5185,12.85937
0.09732,740,0,0.52256,0.5185,12.85936
0.09832,740,0,0.52256,0.5185,12.85935
0.09932,740,0,0.52256,0.5185,12.85934
0.10032,740,0,0.52256,0.5185,12.85933
0.10132,740,0,0.52256,0.5185,12.85933
0.10232,740,0,0.52256,0.5185,12.85932
0.10332,740,0,0.52256,0.5185,12.85931
0.10432,740,0,0.52256,0.5185,12.85931
0.10532,740,0,0.52256,0.5185,12.8593
0.10632,740,0,0.52256,0.5185,12.8593
0.10732,740,0,0.52256,0.5185,12.8593
0.10832,740,0,0.52256,0.5185,12.8593
0.10932,740,0,0.52256,0.5185,12.8593
0.11032,740,0,0.52256,0.5185,12.8593
0.11132,740,0,0.52256,0.5185,12.8593
0.11232,740,0,0.52256,0.5185,12.8593
0.11332,740,0,0.52256,0.5185,12.85931
0.11432,740,0,0.52256,0.5185,12.85931
0.11532,740,0,0.52256,0.5185,12.85932
0.11632,740,0,0.52256,0.5185,12.85933
0.11732,740,0,0.52256,0.5185,12.85933
0.11832,740,0,0.52256,0.5185,12.85934
0.11932,740,0,0.52256,0.5185,12.85935
0.12032,740,0,0.52256,0.5185,12.85936
0.12132,740,0,0.52256,0.5185,12.85937
0.12232,740,0,0.52256,0.5185,12.85937
0.12332,740,0,0.52256,0.5185,12.85938
0.12432,740,0,0.52256,0.5185,12.85938
0.12532,740,0,0.52256,0.5185,12.85939
0.12632,740,0,0.52256,0.5185,12.85939
0.12732,740,0,0.52256,0.5185,12.85939
0.12832,740,0,0.52256,0.5185,12.85939
0.12932,740,0,0.52256,0.5185,12.85939
0.13032,740,0,0.52256,0.5185,12.85939
0.13132,740,0,0.52256,0.5185,12.85939
0.13232,740,0,0.52256,0.5185,12.85939
0.13332,740,0,0.52256,0.5185,12.85938
0.13432,740,0,0.52256,0.5185,12.85938
0.13532,740,0,0.52256,0.5185,12.85937
0.13632,740,0,0.52256,0.5185,12.85937
0.13732,740,0,0.52256,0.5185,12.85936
0.13832,740,0,0.52256,0.5185,12.85935
0.13932,740,0,0.52256,0.5185,12.85934
0.14032,740,0,0.52256,0.5185,12.85933
0.14132,740,0,0.52256,0.5185,12.85933
0.14232,740,0,0.52256,0.5185,12.85932
0.14332,740,0,0.52256,0.5185,12.85931
0.14432,740,0,0.52256,0.5185,12.85931
0.14532,740,0,0.52256,0.5185,12.8593
0.14632,740,0,0.52256,0.5185,12.8593
0.14732,740,0,0.52256,0.5185,12.8593
0.14832,740,0,0.52256,0.5185,12.8593
0.14932,740,0,0.52256,0.5185,12.8593
0.15032,740,0,0.52256,0.5185,12.8593
0.15132,740,0,0.52256,0.5185,12.8593
0.15232,740,0,0.52256,0.5185,12.8593
0.15332,740,0,0.52256,0.5185,12.85931
0.15432,740,0,0.52256,0.5185,12.85931
0.15532,740,10.3909,0.52256,0.5185,12.85932
0.15632,740,10.3909,0.52256,0.5185,12.85933
0.15735,740,10.3909,0.52256,0.5185,12.85933
0.15832,740,10.3909,0.52256,0.5185,12.85934
0.15932,740,10.3909,0.52256,0.5185,12.85935
0.16032,740,10.3909,0.52256,0.5185,12.85936
0.16132,740,10.3909,0.52256,0.5185,12.85937
0.16232,740,10.3909,0.52256,0.5185,12.85937
0.16332,740,10.3909,0.52256,0.5185,12.85938
0.16432,740,10.3909,0.52256,0.5185,12.85938
0.16532,740,10.3909,0.52256,0.5185,12.85939
0.16632,740,10.3909,0.52256,0.5185,12.85939
0.16732,740,10.3909,0.52256,0.5185,12.85939
0.16832,740,10.3909,0.52256,0.5185,12.85939
0.16932,740,10.3909,0.52256,0.5185,12.85939
0.17032,740,10.3909,0.52256,0.5185,12.85939
0.17132,740,10.3909,0.52256,0.5185,12.85939
0.17232,740,10.3909,0.52256,0.5185,12.85939
0.17332,740,10.3909,0.52256,0.5185,12.85938
0.17432,740,10.3909,0.52256,0.5185,12.85938
0.17532,740,10.3909,0.52256,0.5185,12.85937
0.17632,740,42.49386,0.52256,0.5185,12.85937
0.17732,740,42.49386,0.52256,0.5185,12.85936
0.17832,740,42.49386,0.52256,0.5185,12.85935
0.17932,740,42.49386,0.52256,0.5185,12.85934
0.18032,740,42.49386,0.52256,0.5185,12.85933
0.18132,740,42.49386,0.52256,0.5185,12.85933
0.18232,740,42.49386,0.52256,0.5185,12.85932
0.18332,740,42.49386,0.52256,0.5185,12.85931
0.18432,740,42.49386,0.52256,0.5185,12.85931
0.18532,740,42.49386,0.52256,0.5185,12.8593
0.18632,740,42.49386,0.52256,0.5185,12.8593
0.18732,740,78.93746,0.52256,0.5185,12.8593
0.18832,740,78.93746,0.52256,0.5185,12.8593
0.18932,740,78.93746,0.52256,0.5185,12.8593
0.19032,740,78.93746,0.52256,0.5185,12.8593
0.19132,740,78.93746,0.52256,0.5185,12.8593
0.19232,740,78.93746,0.52256,0.5185,12.8593
0.19332,740,78.93746,0.52256,0.5185,12.85931
0.19432,740,78.93746,0.52256,0.5185,12.85931
0.19532,740,78.93746,0.52256,0.5185,12.85932
0.19632,740,96.51589,0.52256,0.5185,12.85933
0.19732,740,96.51589,0.52256,0.5185,12.85933
0.19832,740,96.51589,0.52256,0.5185,12.85934
0.19932,740,96.51589,0.52256,0.5185,12.85935
0.20032,740,96.51589,0.52256,0.5185,12.85936
0.20132,740,96.51589,0.52256,0.5185,12.85937
0.20232,740,96.51589,0.52256,0.5185,12.85937
0.20332,740,96.51589,0.52256,0.5185,12.85938
0.20432,740,96.51589,0.52256,0.5185,12.85938
0.20532,740,107.98819,0.52256,0.5185,12.85939
0.20632,740,107.98819,0.52256,0.5185,12.85939
0.20732,740,107.98819,0.52256,0.5185,12.85939
0.20832,740,107.98819,0.52256,0.5185,12.85939
0.20932,740,107.98819,0.52256,0.5185,12.85939
0.21032,740,107.98819,0.52256,0.5185,12.85939
0.21132,740,107.98819,0.52256,0.5185,12.85939
