time(s),target rotor speed(rad/s),rotor speed(rad/s),motor output,equivalent output,battery voltage(V)
0.00036,0.00000,0.00000,0.00000,0.00000,14.45437
0.00143,780.00000,0.00000,0.49266,0.45357,14.45438
0.00236,780.00000,0.00000,0.49266,0.45357,14.45438
0.00343,780.00000,0.00000,0.49266,0.45357,14.45439
0.00436,780.00000,0.00000,0.49266,0.45357,14.45440
0.00538,780.00000,0.00000,0.49266,0.45357,14.45440
0.00643,780.00000,0.00000,0.49265,0.45357,14.45441
0.00736,780.00000,0.00000,0.49265,0.45357,14.45442
0.00837,780.00000,0.00000,0.49265,0.45357,14.45443
0.00934,780.00000,0.00000,0.49265,0.45357,14.45444
0.01034,780.00000,0.00000,0.49265,0.45357,14.45444
0.01134,780.00000,0.00000,0.49265,0.45357,14.45445
0.01234,780.00000,0.00000,0.49265,0.45357,14.45445
0.01334,780.00000,0.00000,0.49265,0.45357,14.45445
0.01434,780.00000,0.00000,0.49265,0.45357,14.45446
0.01534,780.00000,0.00000,0.49265,0.45357,14.45446
0.01634,780.00000,0.00000,0.49265,0.45357,14.45446
0.01734,780.00000,0.00000,0.49265,0.45357,14.45446
0.01834,780.00000,0.00000,0.49265,0.45357,14.45445
0.01934,780.00000,0.00000,0.49265,0.45357,14.45445
0.02034,780.00000,0.00000,0.49265,0.45357,14.45445
0.02134,780.00000,0.00000,0.49265,0.45357,14.45444
0.02234,780.00000,0.00000,0.49265,0.45357,14.45444
0.02334,780.00000,0.00000,0.49265,0.45357,14.45443
0.02434,780.00000,0.00000,0.49265,0.45357,14.45442
0.02534,780.00000,0.00000,0.49265,0.45357,14.45441
0.02634,780.00000,0.00000,0.49266,0.45357,14.45440
0.02734,780.00000,0.00000,0.49266,0.45357,14.45440
0.02834,780.00000,0.00000,0.49266,0.45357,14.45439
0.02934,780.00000,0.00000,0.49266,0.45357,14.45438
0.03034,780.00000,0.00000,0.49266,0.45357,14.45438
0.03134,780.00000,0.00000,0.49266,0.45357,14.45437
0.03234,780.00000,0.00000,0.49266,0.45357,14.45437
0.03334,780.00000,0.00000,0.49266,0.45357,14.45436
0.03434,780.00000,0.00000,0.49266,0.45357,14.45436
0.03534,780.00000,0.00000,0.49266,0.45357,14.45436
0.03634,780.00000,0.00000,0.49266,0.45357,14.45436
0.03734,780.00000,0.00000,0.49266,0.45357,14.45436
0.03834,780.00000,0.00000,0.49266,0.45357,14.45436
0.03934,780.00000,0.00000,0.49266,0.45357,14.45437
0.04034,780.00000,0.00000,0.49266,0.45357,14.45437
0.04134,780.00000,0.00000,0.49266,0.45357,14.45438
0.04234,780.00000,0.00000,0.49266,0.45357,14.45438
0.04334,780.00000,0.00000,0.49266,0.45357,14.45439
0.04434,780.00000,0.00000,0.49266,0.45357,14.45440
0.04534,780.00000,0.00000,0.49266,0.45357,14.45440
0.04634,780.00000,0.00000,0.49265,0.45357,14.45441
0.04734,780.00000,0.00000,0.49265,0.45357,14.45442
0.04834,780.00000,0.00000,0.49265,0.45357,14.45443
0.04934,780.00000,0.00000,0.49265,0.45357,14.45444
0.05034,780.00000,0.00000,0.49265,0.45357,14.45444
0.05134,780.00000,0.00000,0.49265,0.45357,14.45445
0.05234,780.00000,0.00000,0.49265,0.45357,14.45445
0.05334,780.00000,0.00000,0.49265,0.45357,14.45445
0.05434,780.00000,0.00000,0.49265,0.45357,14.45446
0.05534,780.00000,0.00000,0.49265,0.45357,14.45446
0.05634,780.00000,0.00000,0.49265,0.45357,14.45446
0.05734,780.00000,0.00000,0.49265,0.45357,14.45446
0.05834,780.00000,0.00000,0.49265,0.45357,14.45445
0.05934,780.00000,0.00000,0.49265,0.45357,14.45445
0.06034,780.00000,0.00000,0.49265,0.45357,14.45445
0.06134,780.00000,0.00000,0.49265,0.45357,14.45444
0.06234,780.00000,0.00000,0.49265,0.45357,14.45444
0.06334,780.00000,0.00000,0.49265,0.45357,14.45443
0.06434,780.00000,0.00000,0.49265,0.45357,14.45442
0.06534,780.00000,0.00000,0.49265,0.45357,14.45441
0.06634,780.00000,0.00000,0.49266,0.45357,14.45440
0.06734,780.00000,0.00000,0.49266,0.45357,14.45440
0.06834,780.00000,0.00000,0.49266,0.45357,14.45439
0.06934,780.00000,0.00000,0.49266,0.45357,14.45438
0.07034,780.00000,0.00000,0.49266,0.45357,14.45438
0.07134,780.00000,0.00000,0.49266,0.45357,14.45437
0.07234,780.00000,0.00000,0.49266,0.45357,14.45437
0.07334,780.00000,0.00000,0.49266,0.45357,14.45436
0.07434,780.00000,0.00000,0.49266,0.45357,14.45436
0.07534,780.00000,0.00000,0.49266,0.45357,14.45436
0.07634,780.00000,0.00000,0.49266,0.45357,14.45436
0.07734,780.00000,0.00000,0.49266,0.45357,14.45436
0.07834,780.00000,0.00000,0.49266,0.45357,14.45436
0.07934,780.00000,0.00000,0.49266,0.45357,14.45437
0.08034,780.00000,0.00000,0.49266,0.45357,14.45437
0.08134,780.00000,0.00000,0.49266,0.45357,14.45438
0.08234,780.00000,0.00000,0.49266,0.45357,14.45438
0.08334,780.00000,0.00000,0.49266,0.45357,14.45439
0.08434,780.00000,0.00000,0.49266,0.45357,14.45440
0.08534,780.00000,0.00000,0.49266,0.45357,14.45440
0.08634,780.00000,0.00000,0.49265,0.45357,14.45441
0.08734,780.00000,0.00000,0.49265,0.45357,14.45442
0.08834,780.00000,0.00000,0.49265,0.45357,14.45443
0.08934,780.00000,0.00000,0.49265,0.45357,14.45444
0.09034,780.00000,0.00000,0.49265,0.45357,14.45444
0.09134,780.00000,0.00000,0.49265,0.45357,14.45445
0.09234,780.00000,0.00000,0.49265,0.45357,14.45445
0.09334,780.00000,0.00000,0.49265,0.45357,14.45445
0.09434,780.00000,0.00000,0.49265,0.45357,14.45446
0.09534,780.00000,0.00000,0.49265,0.45357,14.45446
0.09634,780.00000,0.00000,0.49265,0.45357,14.45446
0.09734,780.00000,0.00000,0.49265,0.45357,14.45446
0.09834,780.00000,0.00000,0.49265,0.45357,14.45445
0.09934,780.00000,0.00000,0.49265,0.45357,14.45445
0.10034,780.00000,0.00000,0.49265,0.45357,14.45445
0.10134,780.00000,0.00000,0.49265,0.45357,14.45444
0.10234,780.00000,0.00000,0.49265,0.45357,14.45444
0.10334,780.00000,0.00000,0.49265,0.45357,14.45443
0.10434,780.00000,0.00000,0.49265,0.45357,14.45442
0.10534,780.00000,0.00000,0.49265,0.45357,14.45441
0.10634,780.00000,0.00000,0.49266,0.45357,14.45440
0.10734,780.00000,0.00000,0.49266,0.45357,14.45440
0.10834,780.00000,0.00000,0.49266,0.45357,14.45439
0.10934,780.00000,0.00000,0.49266,0.45357,14.45438
0.11034,780.00000,0.00000,0.49266,0.45357,14.45438
0.11134,780.00000,0.00000,0.49266,0.45357,14.45437
0.11234,780.00000,0.00000,0.49266,0.45357,14.45437
0.11334,780.00000,0.00000,0.49266,0.45357,14.45436
0.11434,780.00000,0.00000,0.49266,0.45357,14.45436
0.11534,780.00000,0.00000,0.49266,0.45357,14.45436
0.11634,780.00000,0.00000,0.49266,0.45357,14.45436
0.11734,780.00000,0.00000,0.49266,0.45357,14.45436
0.11834,780.00000,0.00000,0.49266,0.45357,14.45436
0.11934,780.00000,0.00000,0.49266,0.45357,14.45437
0.12034,780.00000,0.00000,0.49266,0.45357,14.45437
0.12134,780.00000,0.00000,0.49266,0.45357,14.45438
0.12234,780.00000,0.00000,0.49266,0.45357,14.45438
0.12334,780.00000,0.00000,0.49266,0.45357,14.45439
0.12434,780.00000,0.00000,0.49266,0.45357,14.45440
0.12534,780.00000,0.00000,0.49266,0.45357,14.45440
