ªª(s),motor output,rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(NÂ·m),moment_y(NÂ·m),moment_z(NÂ·m),,,
3.00086,0,0,3.70152,4.24085,58.62004,-0.0773,-0.43775,-0.16125,,,58.62004
10.00003,0.45,769.21112,3.90522,4.20033,54.59307,-0.07056,-0.42897,-0.17525,,-4.02697,58.62004
20.00006,0.45499,771.94335,3.89884,4.17311,54.54029,-0.07126,-0.42859,-0.17514,,-4.07975,58.62004
30.00001,0.45999,777.44787,3.88135,4.19083,54.47339,-0.07209,-0.4285,-0.17545,,-4.14665,58.62004
40.00007,0.46499,785.88531,3.87425,4.18239,54.40085,-0.0712,-0.42976,-0.17523,,-4.21919,58.62004
ªª0008,0.46999,793.19036,3.87263,4.12532,54.39292,-0.07216,-0.42801,-0.17316,,-4.22712,58.62004
60.00011,0.475,798.35192,3.85743,4.12739,54.28436,-0.07424,-0.42874,-0.17486,,-4.33568,58.62004
70.00007,0.47999,805.74792,3.8917,4.14579,54.21751,-0.07343,-0.42864,-0.17321,,-4.40253,58.62004
80.0001,0.48499,813.70275,3.88094,4.15889,54.1412,-0.07319,-0.42811,-0.17538,,-4.47884,58.62004
90,0.48999,820.82092,3.87765,4.11966,54.12195,-0.07402,-0.42694,-0.1745,,-4.49809,58.62004
100.00003,0.49499,825.58435,3.89338,4.1189,53.99876,-0.07355,-0.42814,-0.17586,,-4.62128,58.62004
110.00005,0.5,832.14233,3.89074,4.13221,53.93952,-0.07394,-0.42691,-0.17404,,-4.68052,58.62004
ªª00010,0.505,838.40222,3.91757,4.10663,53.86975,-0.07349,-0.42785,-0.17551,,-4.75029,58.62004
130.00012,0.50999,846.3731,3.91082,4.08182,53.81992,-0.07554,-0.42765,-0.17562,,-4.80012,58.62004
140.00007,0.51499,850.85723,3.92579,4.08413,53.73991,-0.07409,-0.42762,-0.17651,,-4.88013,58.62004
150.00003,0.51999,856.81457,3.93416,4.07439,53.72449,-0.07668,-0.42621,-0.17488,,-4.89555,58.62004
160.00001,0.525,858.61456,3.8976,4.10053,53.62467,-0.07669,-0.42632,-0.17559,,-4.99537,58.62004
