time(s),motor output,rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(NÂ·m),moment_y(NÂ·m),moment_z(NÂ·m)
3.00029,0,0,0.59406,-0.41221,43.23443,-0.2336,-0.30532,-0.00459
10.00001,0.47999,700.71954,0.87983,-0.09804,40.12318,-0.24065,-0.31027,0.00414
20.0009,0.48499,704.77301,0.91138,-0.07755,39.96157,-0.2354,-0.31015,-0.00461
30.00095,0.48999,711.69256,0.87501,-0.05473,39.91504,-0.24047,-0.31354,-0.00142
40.00091,0.49499,716.01568,0.93107,-0.11446,39.85851,-0.23817,-0.30785,0.00214
ªª0094,0.5,722.86401,0.91527,-0.00897,39.77303,-0.24013,-0.3046,0.00417
60.00088,0.505,723.4812,0.84853,-0.02908,39.66479,-0.23573,-0.31226,-0.00779
70.001,0.50999,735.20947,0.87106,-0.04883,39.69925,-0.24037,-0.31012,0.0031
80.00101,0.51499,736.6286,0.99532,-0.11778,39.53572,-0.23296,-0.30909,-0.01161
90.00092,0.51999,739.16217,0.89582,-0.15407,39.46013,-0.23202,-0.31066,-0.01619
100.00001,0.525,741.39648,0.86926,-0.1628,39.42862,-0.23611,-0.30661,-0.02569
110.00099,0.52999,746.42364,0.9175,-0.17305,39.35424,-0.23493,-0.30864,-0.02282
120.00002,0.53499,755.01159,0.96254,-0.15502,39.34625,-0.23346,-0.30706,-0.01673
130.0009,0.53999,764.90447,1.02198,-0.08795,39.31126,-0.23568,-0.30527,0.00006
140.001,0.54499,765.66668,0.87652,-0.16172,39.27388,-0.2414,-0.30877,-0.01609
150.00091,0.55,776.54113,0.95066,-0.04103,39.28019,-0.24465,-0.3071,0.00414
160.00099,0.555,782.03393,0.99357,-0.11377,39.18563,-0.24248,-0.30539,0.00104
170.00001,0.55999,783.48834,0.8859,-0.0443,39.11437,-0.24144,-0.31437,-0.01318
ªª00099,0.565,789.69702,0.97224,0.0222,39.04028,-0.24368,-0.30748,-0.00952
190.00003,0.56999,793.62353,0.94837,-0.03358,38.9346,-0.23318,-0.31185,-0.01591
