time(s),motor output,rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m),,,
3.00068,0,312.23873,4.16561,3.27886,73.44982,-0.09066,-0.50327,-0.20071,,,73.44982
10.00092,0.45999,790.38116,4.51454,3.43297,69.22914,-0.10168,-0.51712,-0.21355,,-4.22068,73.44982
20.00088,0.465,789.17504,4.4257,3.39334,69.12923,-0.09887,-0.51044,-0.2279,,-4.32059,73.44982
30.00092,0.46999,800.35571,4.4772,3.44416,69.12153,-0.0997,-0.51104,-0.20764,,-4.32829,73.44982
40.00096,0.475,810.52069,4.43298,3.42213,68.99018,-0.09674,-0.51125,-0.19983,,-4.45964,73.44982
50.00001,0.48,819.23205,4.45201,3.53236,68.89722,-0.10431,-0.51254,-0.20173,,-4.5526,73.44982
60.00095,0.485,824.14996,4.39866,3.45727,68.84859,-0.09861,-0.51597,-0.20157,,-4.60123,73.44982
70.00098,0.49,827.91217,4.46972,3.45324,68.77308,-0.09513,-0.51948,-0.20479,,-4.67674,73.44982
80.00087,0.49499,834.97393,4.44508,3.57512,68.7047,-0.10241,-0.51269,-0.20132,,-4.74512,73.44982
90.00093,0.5,845.71343,4.41057,3.50363,68.60897,-0.10365,-0.50643,-0.19493,,-4.84085,73.44982
100.00096,0.505,850.51934,4.46161,3.42504,68.5004,-0.09183,-0.51281,-0.19894,,-4.94942,73.44982
110.00096,0.50999,855.55883,4.42242,3.44819,68.42955,-0.0943,-0.52032,-0.20221,,-5.02027,73.44982
120.00086,0.51499,860.28045,4.53458,3.46887,68.36368,-0.09591,-0.51853,-0.20285,,-5.08614,73.44982
130.00088,0.51999,866.60131,4.39015,3.47448,68.27003,-0.09531,-0.51929,-0.19703,,-5.17979,73.44982
140.00093,0.525,872.5285,4.46201,3.50363,68.16529,-0.10021,-0.519,-0.20192,,-5.28453,73.44982
150.00096,0.53,879.31414,4.40823,3.44431,68.12091,-0.09257,-0.51892,-0.19535,,-5.32891,73.44982
