time(s),motor output,rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
3.00070,0.00000,0.00000,0.53243,-0.58175,44.63688,-0.24819,-0.31443,-0.01480
10.00011,0.45000,772.91748,1.01722,-0.35050,40.71398,-0.24923,-0.31404,-0.01469
20.00007,0.45499,775.02801,0.84896,-0.29557,40.63580,-0.26209,-0.31088,-0.02937
30.00002,0.45999,789.69158,0.96046,-0.37683,40.59064,-0.24797,-0.31786,-0.00504
40.00014,0.46499,790.10076,0.97993,-0.38083,40.48111,-0.25539,-0.31074,-0.02850
50.00002,0.46999,797.08532,0.97239,-0.33592,40.38691,-0.25557,-0.31167,-0.02419
60.00012,0.47500,811.26989,1.02441,-0.30768,40.31863,-0.24637,-0.31652,-0.00451
70.00009,0.47999,813.87023,1.03214,-0.36705,40.19245,-0.25058,-0.30789,-0.02477
80.00004,0.48499,821.80261,1.02638,-0.29973,40.15802,-0.25475,-0.31116,-0.02211
90.00007,0.48999,825.31573,1.08172,-0.29253,40.11338,-0.25345,-0.30818,-0.02205
100.00003,0.49499,830.20416,1.00802,-0.28502,40.00227,-0.25421,-0.31064,-0.02387
110.00013,0.50000,841.96466,1.02708,-0.29122,39.92382,-0.24882,-0.31404,-0.01299
120.00009,0.50500,848.04376,1.02588,-0.34258,39.88380,-0.24931,-0.31236,-0.01727
130.00006,0.50999,850.08575,0.89157,-0.22634,39.81639,-0.26178,-0.30857,-0.03431
140.00009,0.51499,857.63604,0.96736,-0.30985,39.74053,-0.25450,-0.31035,-0.02354
150.00004,0.51999,858.64459,0.89317,-0.21115,39.69773,-0.26215,-0.31396,-0.03267
160.00001,0.52500,871.68969,1.04407,-0.29574,39.61562,-0.24949,-0.31212,-0.01307
