time(s),motor output,rotor speed(rad/s),force_x(N),force_y(N),force_z(N),moment_x(N·m),moment_y(N·m),moment_z(N·m)
3.00065,0.00000,8.54852,3.51702,3.24667,72.23390,-0.11228,-0.49398,-0.21181
10.00104,0.45999,782.32464,3.82724,3.33900,67.61129,-0.11693,-0.48589,-0.23836
20.00000,0.46500,788.45831,3.85362,3.32660,67.52730,-0.11727,-0.48258,-0.23862
30.00001,0.46999,794.34429,3.84333,3.27903,67.36775,-0.11593,-0.48255,-0.23792
40.00105,0.47500,798.00714,3.84204,3.30840,67.28596,-0.11679,-0.48237,-0.24355
50.00001,0.48000,803.81054,3.85504,3.37567,67.21192,-0.11530,-0.48133,-0.24318
60.00104,0.48500,811.50115,3.83892,3.38354,67.12261,-0.11605,-0.48312,-0.24435
70.00001,0.49000,819.03735,3.86314,3.37012,67.02096,-0.11442,-0.48219,-0.24279
80.00103,0.49499,823.81970,3.88986,3.39536,66.90419,-0.11289,-0.48326,-0.24654
90.00001,0.50000,830.00860,3.92608,3.42592,66.85395,-0.11154,-0.48429,-0.24349
100.00102,0.50500,836.04895,3.98669,3.47240,66.74019,-0.11101,-0.48281,-0.24547
110.00105,0.50999,842.77368,3.97897,3.48144,66.62773,-0.11235,-0.48217,-0.24816
120.00009,0.51499,847.21026,4.01321,3.47583,66.54238,-0.10885,-0.48026,-0.24795
130.00006,0.51999,851.76251,3.98858,3.50693,66.49490,-0.10917,-0.48013,-0.25111
140.00007,0.52500,856.99566,3.97831,3.52660,66.37792,-0.10948,-0.48048,-0.25000
150.00006,0.53000,860.42254,4.01230,3.54711,66.31773,-0.10809,-0.48074,-0.25222
